id,y_1999,y_2019
382,742404,836433
383,281055,334333
381,238283,223564
384,476214,552648
391,60187,68680
393,219988,259109
390,861392,827498
392,132150,130413
398,715033,868182
404,111424,122543
401,629324,615681
399,33192,31029
402,37951,39195
400,113783,100285
403,497859,526476
373,686389,703434
371,54399,64934
372,27714,27231
374,176290,158091
375,11997,10503
389,242963,249777
387,422611,429598
386,24061,26613
388,145307,143920
385,223148,230657
394,114680,122065
395,173365,178544
396,82512,84462
397,204799,205013
410,569161,529049
406,65298,72640
407,776462,853686
405,6102,7622
408,24765,22865
409,46276,55417
999,174037,180323
379,101189,102047
380,666695,679833
378,495369,581965
377,14802,13712
376,42342,45199
