id,y_1999,y_2019
382,5092,5292
383,2963,3316
381,5415,6003
384,6285,6550
391,1318,1252
393,9004,9937
390,7930,8247
392,9758,9525
398,9698,10618
404,3975,3943
401,6539,6296
399,7026,7030
402,8523,9633
400,2679,2938
403,3043,3423
373,3905,4191
371,6517,6371
372,8459,9614
374,2282,2237
375,5724,6284
389,1241,1267
387,3424,3912
386,2825,3055
388,6527,6203
385,9521,10358
394,7336,7360
395,8091,8029
396,3267,3490
397,3392,3686
410,4901,5206
406,9881,10799
407,8740,8799
405,4457,4296
408,2250,2154
409,8722,8672
999,5001,5172
379,7235,8075
380,7203,7359
378,3933,4214
377,9853,9907
376,6440,7402
