id,y_1999,y_2019
382,7932,7767
383,3817,4287
381,9164,8852
384,7754,7972
391,2123,2135
393,3449,3370
390,5423,5195
392,4326,4879
398,7758,7847
404,4439,4523
401,3419,3420
399,4437,4337
402,5216,5807
400,7256,7021
403,5822,5908
373,9650,11054
371,6506,7097
372,9512,10549
374,9397,10461
375,2315,2481
389,4703,4558
387,3721,3648
386,8982,8906
388,5190,5030
385,8484,8751
394,1783,1969
395,6038,6556
396,4862,4634
397,3391,3771
410,4734,4548
406,3427,3754
407,2260,2208
405,9376,10727
408,4245,4053
409,9288,9024
999,3288,3723
379,3901,3754
380,2007,2239
378,2664,2536
377,1745,1859
376,3085,3445
