id,y_1999,y_2010,y_2012,y_2014,y_2016,y_2019
382,4889,5447,5472,5277,5258,5421
383,8360,8286,9144,10133,10157,11328
381,7182,7529,7657,7535,8264,8035
384,4381,4970,5288,5456,5198,5370
391,6088,6040,6189,7037,6854,7381
393,3563,3421,3564,3998,4134,4001
390,1851,1977,1971,1922,2028,2178
392,6644,7082,6978,6840,6770,6936
398,4764,4563,4506,5173,5588,5576
404,2975,3209,3677,3606,4142,4107
401,1378,1512,1526,1717,1816,1750
399,3835,4169,4243,4513,4374,4511
402,6788,6906,6661,7455,7764,8720
400,3665,4200,4739,5002,5181,4956
403,6209,6004,6772,7547,7436,8494
373,8851,10143,10211,10536,11178,11049
371,1445,1607,1652,1672,1888,2154
372,1090,1068,1074,1232,1198,1317
374,3821,3714,3783,4027,4059,4316
375,4756,4765,5117,5298,5149,5539
389,3296,3164,3442,3632,3572,3814
387,5160,5441,5290,5715,5512,5242
386,6425,7142,6800,7539,7679,8237
388,3666,3674,3776,4089,4614,4546
385,7480,7226,8262,8434,8468,9180
394,2139,2280,2294,2321,2532,2820
395,9042,9601,10803,10400,11947,11395
396,5482,6090,6327,6937,7867,7715
397,6278,6704,6559,7237,7951,8131
410,2732,2978,3373,3213,3531,4026
406,2200,2158,2110,2080,2113,2376
407,6771,7725,7987,8505,8091,8348
405,9674,10722,10624,10743,11684,11572
408,2773,2863,3268,3677,3909,4078
409,5301,5224,5638,5649,5905,6689
999,3967,3819,4250,4828,4901,5368
379,9595,10247,11636,11414,12797,12226
380,1539,1752,1750,1914,1951,2020
378,4916,4891,5205,5250,6026,6926
377,3114,3485,3860,3860,4059,4271
376,6270,6787,7599,8375,8943,9294
