id,y_1999,y_2010,y_2012,y_2014,y_2016,y_2019
382,1181,1325,1418,1532,1538,1590
383,7993,9171,10123,10562,10544,10762
381,5069,5493,6149,6237,6605,6503
384,7352,7381,7971,8069,8244,8280
391,9369,10308,11005,10873,12260,12602
393,3165,3267,3647,3683,3891,4310
390,4576,4536,4496,4792,4622,5299
392,4016,4092,4440,4807,4928,5074
398,7699,8064,8733,8851,10095,10480
404,4106,4643,5207,5057,5582,5574
401,6204,5922,6175,6949,7641,7629
399,6875,7395,8396,8627,8932,8908
402,5900,6371,6885,7068,7268,7393
400,8747,10017,9801,10799,12233,12691
403,7135,7223,7835,8003,8758,8972
373,5958,6314,6261,6263,6251,6885
371,4776,5008,5434,5602,5512,6174
372,7726,7673,7933,8875,9338,9335
374,9500,9219,8965,10205,11665,13013
375,2729,2729,2953,2806,2857,2722
389,3591,3434,3617,3782,3716,3623
387,1310,1424,1437,1561,1704,1685
386,1141,1176,1146,1308,1458,1669
388,5112,5608,5838,6538,6302,6275
385,4092,4229,4039,4446,5092,5729
394,6049,6316,6784,7389,7756,8245
395,2990,3176,3034,3192,3273,3348
396,5880,6742,6972,6694,6646,6468
397,9233,9661,10678,12264,11651,12447
410,9872,10268,10172,11575,12174,12899
406,8988,8718,8398,8668,8511,9614
407,3906,4209,4820,4661,5267,5629
405,9322,9624,10113,11469,12618,13130
408,2587,2529,2773,2974,3045,3406
409,4788,4878,4651,4445,4510,4447
999,6486,6983,7179,7252,8129,7880
379,1265,1369,1442,1501,1570,1539
380,3442,3317,3440,3794,4278,4181
378,1044,1158,1258,1347,1314,1466
377,3118,3526,3873,4150,4055,4277
376,5527,5375,5136,5217,5346,5174
