id,y_1999,y_2015,y_2019
382,6398,7224,7861
383,1469,1636,1806
381,2190,2387,2568
384,5980,6769,6759
391,5377,5231,5235
393,7364,7289,7664
390,2906,3107,3013
392,2715,3120,3407
398,5218,5179,5783
404,4061,4603,4450
401,2805,3094,3292
399,1808,1789,1919
402,1427,1619,1644
400,1393,1404,1500
403,7022,7524,7647
373,2155,2476,2469
371,2795,3157,3600
372,8393,9449,9971
374,5441,5837,6584
375,1984,2095,2108
389,5644,5956,6581
387,9512,10236,11513
386,1325,1313,1436
388,2411,2551,2693
385,4259,4686,5033
394,9183,10430,10487
395,8314,9092,10228
396,6741,6801,7066
397,9312,10059,10138
410,5500,6180,6974
406,9765,9750,9882
407,2259,2493,2517
405,7770,8639,9835
408,4750,5154,5077
409,4678,5352,6149
999,5715,5529,5325
379,8354,9167,9662
380,9173,9963,10044
378,5528,6089,6526
377,7657,8002,8529
376,6219,6739,6865
