id,y_1999,y_2000,y_2010,y_2019,y_2020
382,2856,2998,3112,3511,3588
383,6672,6651,6671,7227,8247
381,6205,5906,6290,6982,7876
384,9188,10104,9659,9784,10191
391,8248,9449,10173,10429,11125
393,7650,7696,8432,9649,10480
390,6568,6779,7558,7818,8620
392,9196,8955,9263,9622,9620
398,8640,8310,8064,8324,9040
404,2895,2887,3119,3357,3648
401,6284,6806,7462,8229,8621
399,5530,5607,6084,6008,6883
402,1420,1617,1541,1612,1622
400,1237,1396,1568,1504,1680
403,4952,5123,5882,5780,5508
373,6431,6825,7321,7687,8148
371,1757,1793,1813,2028,2150
372,5381,6134,7025,7308,6949
374,7186,8262,9139,8972,10061
375,7950,8609,9061,9711,9852
389,9546,10209,10652,10393,10976
387,7054,7803,7516,8374,9000
386,1127,1147,1239,1246,1400
388,6947,7275,7824,8888,9331
385,3242,3115,3451,3799,4315
394,7861,8355,9515,9280,9438
395,2165,2388,2461,2365,2568
396,5539,6143,6118,6583,7101
397,6711,6823,7563,8187,8932
410,2490,2860,3061,2963,3325
406,7921,8484,8434,8983,9904
407,4046,3858,3790,3646,4070
405,2619,2667,3010,2895,3039
408,8271,8296,9521,9971,11258
409,5653,5494,5822,5975,6610
999,1362,1480,1588,1750,1796
379,1268,1376,1386,1537,1537
380,1181,1262,1209,1174,1322
378,3739,3714,3578,4000,3893
377,5477,6275,6241,6499,7440
376,8699,9355,10128,11425,11637
