id,y_1999,y_2019
382,3.7,5.9
383,4.1,4.2
381,4.9,3.8
384,5.0,8.6
391,6.1,7.1
393,5.5,8.2
390,2.3,1.5
392,5.4,9.1
398,2.4,5.8
404,8.7,7.1
401,5.9,5.7
399,4.1,9.7
402,5.1,6.2
400,6.0,8.1
403,2.8,1.9
373,2.2,2.7
371,8.8,9.5
372,8.4,7.4
374,2.9,9.1
375,6.3,9.6
389,5.8,8.6
387,5.1,7.1
386,7.9,7.7
388,7.6,3.8
385,3.6,7.7
394,8.7,8.2
395,1.9,2.5
396,7.1,2.1
397,1.8,3.5
410,9.9,1.4
406,4.0,8.3
407,4.1,9.0
405,9.0,1.1
408,1.6,3.1
409,9.9,9.3
999,1.4,8.6
379,5.0,1.3
380,5.8,9.1
378,9.3,2.6
377,3.5,3.6
376,9.6,6.5
