id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
644,42,102,171,439,461,169,433,203,52
645,110,203,17,212,181,92,236,71,83
646,129,191,204,243,430,488,384,428,89
647,372,96,483,374,135,190,490,37,39
648,42,420,355,493,245,50,147,412,51
649,414,218,49,222,435,132,344,303,457
650,135,221,320,396,146,278,194,25,169
651,461,226,463,22,100,296,467,144,362
652,315,232,79,335,103,467,381,28,10
653,217,175,439,349,46,50,468,357,217
654,320,295,137,432,297,206,196,229,275
655,26,257,250,463,22,173,473,410,269
656,489,469,345,205,117,69,164,129,149
657,279,268,11,25,317,251,146,162,172
658,203,190,116,67,44,395,367,384,169
659,159,277,260,31,162,192,302,460,349
660,219,417,97,408,151,184,239,392,293
661,184,381,276,75,207,48,462,159,415
662,65,236,262,291,352,481,475,277,75
663,82,37,312,125,10,210,145,296,264
664,84,213,48,32,210,353,45,390,152
665,467,356,32,455,414,452,30,23,360
666,172,315,315,119,415,19,138,217,67
667,17,464,414,169,353,73,34,46,69
668,61,94,418,277,81,419,353,256,410
669,182,153,180,309,290,175,235,77,351
670,434,296,214,407,35,289,266,227,362
671,186,110,422,406,219,217,381,435,377
672,99,18,320,178,86,351,158,33,246
673,242,442,436,150,219,82,253,133,126
674,82,307,20,301,272,86,101,469,144
675,331,37,447,193,154,420,93,57,298
676,210,325,284,218,142,480,392,105,189
677,323,400,234,257,208,425,360,281,322
678,348,87,241,256,341,379,249,236,410
679,322,242,202,121,253,395,390,476,11
680,423,334,146,168,78,246,181,19,427
681,438,95,389,87,272,308,426,475,330
682,127,266,70,119,260,52,115,301,173
683,315,413,445,487,156,410,80,411,82
684,26,164,78,276,157,306,281,353,121
