id,y_1999,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
382,3154,3178,3172,3037,3167,3358,3295,3139,3099
383,2590,2916,3156,3052,3397,3844,4265,4452,5008
381,9939,10851,10318,10458,11681,11334,11586,12497,12559
384,7036,7606,8005,8006,8056,7800,8218,9406,10137
391,7741,7683,7784,7848,8839,8956,9851,10336,11848
393,4310,4256,4561,4766,4691,5214,5083,5317,6012
390,4907,5297,5980,5890,5669,6031,6615,6439,7401
392,8643,9454,9745,9734,11080,12313,12244,12597,14404
398,3189,3491,3405,3435,3735,3785,4054,4487,4283
404,3178,3468,3788,4287,4344,4793,5064,5444,5741
401,9485,9792,10319,10116,11415,13030,12919,14258,15995
399,1310,1334,1521,1541,1535,1667,1707,1787,1746
402,8222,8028,7840,7805,8804,9966,9767,10646,11050
400,8199,8264,9493,10191,9746,10550,10139,9868,9374
403,1836,1750,1995,2175,2488,2722,2956,3376,3766
373,3079,3535,3574,3513,3932,3737,4181,4769,4693
371,1908,2085,2222,2175,2248,2462,2448,2485,2558
372,2810,3037,2993,3389,3308,3799,3623,3943,3753
374,4921,5315,6019,6628,6436,6636,7389,8334,8173
375,3365,3790,4155,4397,4886,4753,5280,6067,6475
389,2501,2450,2498,2707,2799,2932,2872,2812,2958
387,9444,9668,11028,12207,12073,13563,14019,14242,13861
386,1548,1638,1747,1809,1795,1713,1641,1584,1690
388,5045,5793,5586,5326,5619,5783,6619,6364,6571
385,1415,1368,1438,1469,1667,1647,1607,1739,1801
394,3269,3730,3641,3723,4030,4283,4609,4695,5079
395,2293,2349,2430,2521,2801,3139,3561,3853,4045
396,4113,4656,4867,4801,4910,4885,5174,5692,6488
397,6948,6749,7084,7661,8685,9430,9602,9955,10987
410,2134,2179,2201,2176,2252,2312,2352,2585,2880
406,4167,4085,3885,4177,4767,5226,5368,5380,5490
407,3587,3647,3782,3984,4510,4375,4521,4868,5228
405,3581,4047,4521,4709,5407,5498,5864,6090,6591
408,3204,3593,4107,4641,5246,5972,6318,6247,7096
409,3272,3400,3835,4001,4064,4269,4806,5129,5348
999,7730,8509,9250,8994,8924,9597,9753,10536,11764
379,5449,5232,5150,4964,5353,5172,5408,6031,6907
380,9021,9427,10407,10255,9782,9598,9836,10441,11932
378,4934,5473,5447,5299,5893,6681,7189,7183,7428
377,1372,1440,1419,1570,1782,2037,2222,2319,2554
376,7056,7635,8656,9282,9937,10807,11176,12713,12324
