id,y_1999,y_2013,y_2017,y_2019
382,2527,2744,2640,3006
383,4976,5428,6071,6874
381,2126,2378,2390,2402
384,5109,5587,5835,6169
391,8359,9400,9869,10823
393,4357,4766,4559,4809
390,3539,3781,3735,4277
392,2720,3092,3541,3862
398,3030,3000,3055,3157
404,9123,9967,9547,9359
401,1309,1269,1294,1450
399,7965,8915,10167,10337
402,2717,3003,3348,3772
400,8556,9475,10574,10931
403,8008,8827,8462,8486
373,6654,6656,6358,6212
371,6743,7237,6977,7054
372,7748,7976,8351,9069
374,9141,10375,10923,12269
375,9161,9181,8814,10059
389,4657,5148,5274,5990
387,1405,1521,1682,1810
386,8104,9275,9992,10593
388,9437,10263,11470,11481
385,7943,7643,7825,7874
394,9655,9287,10635,10668
395,9285,10473,11389,12720
396,8986,9448,9645,10876
397,4054,4217,4104,4102
410,1477,1666,1825,1868
406,5391,6162,5870,6663
407,4213,4498,4937,5590
405,6322,6010,5825,6126
408,3518,4017,4315,4779
409,7164,7050,7988,8060
999,9545,9234,8986,8961
379,4259,4659,5230,5889
380,3946,3890,3989,4250
378,6468,6747,7233,7573
377,9917,10081,11239,12457
376,5527,5944,5841,5963
