id,y_1999,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
382,7150,6806,6467,7019,8027,8270,8084,8780,9828,9817,9521,10846
383,9950,11008,12377,12458,12173,13483,13638,14478,15283,15916,15168,16193
381,1730,1757,1841,1991,2263,2169,2392,2434,2394,2491,2676,2964
384,5485,5932,5758,5971,5890,5951,6286,7190,8079,8776,8580,9678
391,6824,6771,7506,8380,9063,10330,11407,11448,12819,14433,14441,15128
393,5596,6429,6982,6864,6583,6589,7083,8009,7656,7368,8411,9497
390,8293,8610,9360,10370,9939,10778,11222,11600,12014,12060,12062,12762
392,3716,3835,3906,3800,3648,3834,3832,4293,4547,5101,5739,6272
398,1615,1622,1617,1740,1861,1843,1851,1867,1992,2194,2210,2302
404,9387,10058,9581,10574,10911,10593,11186,12246,12660,13093,14358,15415
401,2092,2041,2255,2275,2312,2431,2555,2866,3127,3034,3208,3583
399,3969,3886,4055,3853,4083,4143,4762,5338,5103,5222,5887,6508
402,8825,10085,11343,11830,13361,12757,13112,14989,14974,14283,13786,13482
400,8956,8804,8912,9242,9863,10949,11101,11406,13015,12808,12630,12297
403,6922,6844,7443,8294,9521,10460,11555,12705,13255,13891,15256,16572
373,2064,2194,2121,2188,2356,2381,2308,2216,2253,2528,2463,2491
371,5923,5813,6667,6547,6772,7561,7662,7682,8066,8033,8996,10288
372,5160,5624,5518,5242,5383,5900,5679,6234,7133,6806,7763,7889
374,3578,3911,4221,4315,4849,5086,5112,5085,4842,5104,5265,6041
375,3403,3894,4455,4933,5310,5277,5960,5913,6611,6990,7070,6750
389,1613,1800,1949,2211,2157,2283,2337,2618,2699,2814,3036,3072
387,7126,6823,7093,7213,8263,7906,8003,8522,8491,9572,9868,10590
386,9832,9644,9414,9785,9964,10745,10784,11393,12684,12802,12355,13053
388,5265,5753,6091,5879,6493,7317,7326,7477,7803,8086,8920,10176
385,3955,4364,4806,4625,4891,5104,4913,4942,5650,5749,6250,6792
394,3126,3070,2931,3275,3503,3757,4036,4111,4705,4729,5103,4954
395,3949,4319,4452,4759,4843,5012,5135,4933,4722,5120,5569,6365
396,1789,2009,2194,2357,2240,2234,2160,2140,2168,2251,2270,2464
397,1456,1601,1590,1694,1808,2045,2166,2162,2179,2228,2166,2490
410,8403,9036,9236,9898,10600,11960,13610,12950,13893,15128,14752,15292
406,8912,10130,11372,13066,13877,15120,15486,14939,16660,16455,18205,19770
407,7416,8012,7758,8384,9034,10172,10852,12154,12905,12611,14483,13980
405,4086,4575,5154,5043,4845,4889,4756,5434,6149,6503,6253,7059
408,6905,7282,7926,7864,7647,7659,8471,9159,10066,9812,10957,10834
409,9129,9248,9169,9200,9027,10229,11555,12583,13067,13703,14461,16233
999,3108,3293,3288,3230,3143,3336,3270,3126,3470,3776,4226,4648
379,1092,1236,1284,1468,1562,1787,2011,2214,2275,2466,2684,3050
380,6717,6956,7160,7395,8132,8006,8791,8442,9653,10424,10338,11076
378,6995,7312,7197,7134,7486,7487,7440,8147,9112,9723,10611,12080
377,8086,8292,8258,8948,8705,9989,11156,12686,13502,14320,14896,14448
376,3060,3501,3432,3520,3761,4018,4236,4817,5312,5607,5515,6290
