id,y_1999,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
382,5935,6453,6483,7290,7313,7700,7834,7792,7558
383,7531,8188,8025,7872,7943,8351,8832,10053,9766
381,9872,10088,11196,11000,12146,12658,12418,12052,13024
384,1292,1381,1335,1364,1448,1557,1593,1637,1829
391,4622,4996,5203,5013,4798,5232,4972,5620,5586
393,2265,2557,2716,2697,3035,3067,3069,2939,3018
390,1077,1075,1155,1223,1398,1539,1719,1845,2011
392,6431,7317,7644,7369,8016,7926,7535,8630,9138
398,4125,4248,4386,4173,4772,5210,5518,5388,6133
404,3116,3565,3591,3711,3595,3629,3773,4281,4777
401,5126,5865,6609,7264,7692,8802,9580,10071,9897
399,4155,4454,5006,5128,5578,5374,5349,5998,6228
402,5178,5049,5607,5729,6387,6336,6725,7622,7475
400,3362,3605,3843,3667,3952,4522,4755,5201,5020
403,8618,8835,9512,10679,12008,12357,12108,12699,13983
373,4127,3993,4424,4982,5147,5238,5444,5203,5281
371,4892,5029,5236,5244,5129,5329,5348,5282,5895
372,6133,7008,7391,7593,8466,9491,9716,10827,12169
374,9601,10153,9705,10793,11612,12027,11445,12842,13991
375,6000,5864,5723,6162,6942,7256,8108,9106,10136
389,2154,2396,2529,2614,2797,2720,2936,3206,3564
387,7017,7672,8392,8286,7934,8899,9644,9372,8964
386,4172,4591,4899,5053,5090,5541,5815,5865,6024
388,7317,8242,7947,7808,7858,8545,9303,8918,8569
385,5078,5799,6482,7162,7234,7653,7320,7684,8498
394,2448,2394,2478,2443,2398,2624,2603,2774,3099
395,9154,10277,10605,10841,12165,11842,13413,13910,13529
396,2451,2806,2725,3063,3417,3847,3891,4206,4799
397,1549,1651,1608,1639,1817,2021,2284,2201,2229
410,4474,4945,4794,4664,4459,4648,4915,4895,5003
406,5457,5302,6005,5752,5551,5395,5872,6251,6537
407,4114,4720,4907,5443,5177,5694,5587,5496,5362
405,6490,7287,7612,8586,9320,10038,11125,11205,11373
408,4755,4542,4539,4589,4855,5500,5783,6570,6883
409,6920,7411,8061,8561,9273,10039,10495,11730,12523
999,8939,9961,10501,10535,10472,11723,11630,11103,11291
379,2173,2478,2747,3076,3151,3420,3906,4269,4672
380,3383,3603,4088,4656,4754,5444,5238,5587,5625
378,3198,3052,3186,3488,3616,3438,3660,4099,3930
377,8818,9050,9376,9153,9178,9418,10421,11644,12273
376,8885,8952,9656,9394,10257,11113,10845,10746,12179
