id,y_1999,y_2013,y_2019
382,159260,151961,164702
383,212082,225919,240962
381,451163,513741,557228
384,894156,966006,1017744
391,265508,295188,302896
393,73833,79299,88061
390,283800,305690,372338
392,73221,76900,82531
398,23232,23959,23686
404,786047,744159,781615
401,170610,170622,193490
399,77482,77741,88023
402,180471,194828,196209
400,210054,213628,229339
403,611244,698234,792135
373,25422,26512,23434
371,324710,319565,376467
372,215318,204588,228623
374,126189,128662,140392
375,68541,69494,80865
389,144936,151627,167001
387,289089,279375,269881
386,424183,458097,547859
388,70005,73182,77226
385,819673,905714,1012640
394,134297,147579,149877
395,93718,109549,108545
396,86857,98663,115347
397,197543,216418,242189
410,606963,715731,847607
406,219987,268941,242138
407,910726,865096,986042
405,243926,241745,248019
408,75771,75167,67816
409,153754,141033,130643
999,59905,72904,80102
379,236210,222508,259574
380,448233,451894,420633
378,502288,537180,565606
377,62993,66975,64822
376,302670,294536,256468
