id,y_1999,y_2011,y_2013,y_2015,y_2016,y_2019,y_2020
382,305888,316902,320399,351004,331902,386682,409967
383,278602,341662,303531,294576,303054,332147,348774
381,426288,429693,468558,523238,453846,453190,431604
384,176028,175171,171400,154241,148518,142102,145280
391,371023,329864,305276,280507,305597,363980,398272
393,170674,188974,209429,206976,220408,210556,181851
390,139647,149802,138992,137992,152398,143874,172136
392,151544,170971,187361,203049,205814,246735,266920
398,177718,217017,212908,225367,221445,199287,220047
404,149341,148983,156603,186344,175950,181900,218311
401,240772,253196,259131,287843,308052,347359,385104
399,281591,308851,322961,332074,322267,304907,315319
402,242438,251771,255125,289820,323005,323212,295089
400,86210,75648,76327,71381,74394,88884,100108
403,601788,728427,748756,844170,934012,1104646,1090005
373,10335,10928,11981,13084,14382,14322,12552
371,26708,30615,34968,31097,29904,28031,30179
372,503123,557145,579005,568927,590591,576876,628415
374,703970,649224,769847,844049,967895,995370,1066334
375,94635,87288,100141,117180,111100,113692,109570
389,59358,60097,68431,80556,71812,65615,60505
387,170693,173118,165749,160931,181379,192577,238801
386,11033,13487,12714,13102,12922,12698,14606
388,109691,126094,151418,167101,161226,157874,162378
385,14348,15090,15179,17481,19016,19071,20035
394,71695,85680,79818,95775,85179,79817,76096
395,512502,493106,498437,591824,615226,573357,632749
396,106362,100484,105552,125989,128126,122471,108906
397,247538,289941,301349,336543,383913,408379,454452
410,215125,257494,246391,291304,301907,318565,315307
406,27177,27551,24371,24940,24742,25428,31709
407,30276,28390,32522,30496,28808,31779,32069
405,175669,201547,208241,223684,240311,212534,228695
408,106632,122167,110745,116284,140675,123494,131730
409,379790,362564,385368,407554,405903,423334,426429
999,252472,263918,278557,305662,372408,392139,440653
379,50752,46404,48415,50397,55574,64202,61535
380,317930,322243,290991,317087,367949,447047,520765
378,100578,99182,109266,108781,105370,114858,109657
377,490666,517452,475677,468315,487705,597203,657318
376,111810,125995,116706,138828,138771,160304,176302
