id,y_1999,y_2013,y_2015,y_2017,y_2019
382,6518,6718,6825,7189,7527
383,1034,1094,1210,1173,1197
381,6976,7873,8648,9166,9030
384,9175,9532,10269,10570,12126
391,3120,3574,3850,4035,4562
393,9557,10851,10446,11540,12174
390,7832,7997,8873,8548,8717
392,7950,7940,7807,7530,8235
398,8812,9051,9060,9374,10333
404,8346,8708,8583,8471,9650
401,4189,4551,4882,5579,5798
399,1983,1997,2132,2099,2029
402,4984,5411,6083,6095,6153
400,5532,6256,6020,6659,6782
403,2806,2953,3295,3327,3440
373,7000,7061,7873,7979,9158
371,8582,9115,10104,11299,10812
372,5880,6506,7155,8129,8331
374,6811,6966,7834,7965,8952
375,5390,6013,5801,5732,6440
389,6015,6634,6960,7070,7815
387,8043,8412,8669,9086,9844
386,5395,5712,6472,6600,6343
388,2111,2010,1964,2168,2140
385,2878,3038,3396,3347,3714
394,9850,9985,9965,10004,10374
395,5424,6112,6479,6899,7566
396,4607,4724,4729,4692,5015
397,3989,3838,3819,3884,3698
410,1846,2041,2013,1922,1940
406,4775,5247,5807,5593,5424
407,6798,7301,8084,8952,8883
405,3215,3064,3372,3254,3740
408,6666,7606,8682,9440,9494
409,3422,3796,4298,4673,5333
999,6590,7357,7162,8137,8804
379,6257,6091,5959,5801,6243
380,8684,9432,9675,11095,11639
378,9289,9060,9813,10983,10728
377,5488,5536,6068,6662,7176
376,8844,8700,9156,9328,9546
