id,y_1999,y_2013,y_2017,y_2019
382,161193,191366,177504,199343
383,416461,493395,562835,689161
381,51675,62350,62841,68556
384,323224,349729,355105,346545
391,81286,95998,108894,124435
393,307695,351908,313691,334986
390,319139,361907,341331,396033
392,30761,38037,44333,49860
398,218558,224575,225976,246783
404,719037,728583,750730,665233
401,105799,101173,109355,131250
399,767206,777352,809971,839232
402,193327,217322,228097,277854
400,301780,349079,400234,449210
403,312514,365591,364644,398654
373,459043,454279,449699,470886
371,373122,399516,386270,414723
372,142824,156294,175785,180197
374,116404,121380,119631,122775
375,180380,197708,203598,228500
389,330798,388123,378851,387507
387,77017,78859,82175,86132
386,521031,620083,642883,640541
388,360715,369402,433398,468080
385,760559,704759,658432,720635
394,793622,735130,863411,810743
395,916065,1036995,1193229,1200873
396,650617,702522,715673,825370
397,238826,262892,247490,232171
410,118342,131411,129685,119989
406,148053,168102,155313,193468
407,160553,169901,169196,208129
405,109097,103750,110270,112325
408,229887,243256,273462,279456
409,617163,631427,707728,663656
999,294314,269297,244410,256129
379,414282,467625,532965,545902
380,130294,123539,131400,139743
378,624492,670609,730034,710132
377,351424,369852,373466,405538
376,421712,454889,403909,443804
