id,y_1999,y_2019
382,3029,3373
383,5793,5626
381,1588,1582
384,4158,4391
391,3358,3601
393,4424,4547
390,7213,7976
392,7470,8366
398,9159,10138
404,1073,1113
401,3361,3300
399,6546,6464
402,1697,1880
400,4069,4202
403,2748,2733
373,7177,7813
371,3269,3305
372,8321,8432
374,6324,6932
375,7585,8025
389,6601,7378
387,2694,3079
386,4943,5104
388,8728,9465
385,3229,3197
394,6154,6422
395,8745,9034
396,1875,2055
397,5042,4867
410,9670,9662
406,5993,6023
407,8884,8833
405,9226,10114
408,1111,1206
409,7020,7430
999,6955,7056
379,8927,9870
380,6815,6585
378,5241,5173
377,9534,9195
376,8047,8111
