id,y_1999,y_2000,y_2010,y_2019,y_2020
382,9888,11302,11030,12271,13839
383,4162,4218,4606,4932,5527
381,8321,8277,9469,10817,11939
384,1896,1860,1964,1897,1976
391,3887,4371,4455,4306,4120
393,7907,7584,7689,8583,9815
390,1669,1725,1733,1722,1904
392,9785,10192,10300,10031,11172
398,9113,8738,8665,8929,10016
404,4103,4516,4957,5590,6334
401,9143,8991,9044,8635,9481
399,1494,1453,1522,1724,1864
402,1426,1574,1554,1558,1778
400,8088,8236,8592,9717,9300
403,2511,2399,2591,2865,2935
373,9316,9062,9581,10348,10026
371,6793,6704,7164,7250,8031
372,8030,8018,8908,10201,9990
374,7121,7389,8145,7798,7564
375,2537,2618,2683,2966,3287
389,6278,6158,6904,7568,7380
387,4406,5002,5203,5210,5816
386,4398,4798,5009,4761,4654
388,5321,5371,5443,5190,5556
385,4315,4314,4689,4626,5090
394,5597,5830,5541,6293,6810
395,8978,9142,10040,10455,11067
396,9180,10145,10014,11235,11403
397,3411,3701,3564,3397,3782
410,3552,3614,3464,3670,4030
406,6019,6501,6225,6949,7580
407,7444,7125,7072,6895,7305
405,9466,10129,10591,10998,10772
408,7743,7694,7705,7489,7750
409,3537,4030,4513,4622,4940
999,6585,7542,8358,8004,9090
379,7054,7864,8358,8123,8273
380,2120,2232,2398,2465,2644
378,5607,5725,6295,6268,6577
377,9507,10341,11135,11103,11099
376,1174,1245,1320,1424,1424
