id,y_1999,y_2019,y_2021
382,669,625,726
383,4138,4486,5242
381,4491,5317,5888
384,3760,3507,4104
391,2829,3275,3590
393,864,1007,1044
390,155,180,165
392,1832,1834,2001
398,1954,2028,1994
404,795,902,999
401,4540,4232,4572
399,1452,1395,1541
402,4644,4842,4690
400,4450,4833,5074
403,949,1073,1204
373,3985,3858,4059
371,4387,4394,5030
372,1703,1663,1546
374,2701,2811,2694
375,3627,4144,3866
389,1655,1493,1509
387,3699,3504,4137
386,2155,2547,2916
388,3841,4252,4448
385,4659,4353,4482
394,197,223,225
395,411,463,459
396,2161,1987,1908
397,1386,1656,1622
410,4456,4581,4864
406,3690,3465,3551
407,1036,1172,1110
405,4358,3981,4252
408,3743,3973,4235
409,1675,1555,1556
999,3296,3327,3795
379,4199,4663,4883
380,2128,2429,2564
378,3363,3121,3695
377,2804,3091,3212
376,578,645,679
