id,y_1999,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
382,116347,127419,128465,136509,166681,168112,171143,191210,171996,212742,239797,246923
383,428978,435595,450867,478551,533603,592024,568748,643143,714016,774759,696418,693403
381,323511,317713,360414,362259,350091,385752,414800,380876,387828,411863,455110,509461
384,16125,16915,17216,20786,19097,22397,26145,27438,31945,33045,29601,31373
391,121175,118741,112915,110811,128277,140497,150352,158995,151600,170822,156958,181559
393,104959,106874,102074,124868,114846,120674,130523,124630,125159,140921,160629,194420
390,229062,226481,237444,223528,231525,244908,240135,256346,238597,263460,277128,239863
392,47808,54943,66679,66113,72049,79661,81470,78091,83236,84522,100630,103943
398,441504,493807,519753,572553,518490,588567,574423,566407,573681,699766,738768,830713
404,542246,610859,602300,614974,749016,871779,886280,940135,956562,880782,993651,964539
401,90047,91611,82702,83043,79302,89998,85497,86943,106515,100261,95034,91789
399,224471,244541,220204,217038,204588,223947,217773,240914,223849,216601,228719,237563
402,49348,60506,59293,58305,59501,54153,65049,70679,72676,86854,97018,87416
400,694031,684055,770845,715468,770775,859863,936293,988234,1136967,1348585,1426214,1340009
403,159661,179959,184944,222759,265817,275453,268581,281136,285107,297106,325412,339832
373,262877,301222,281787,280060,297225,351012,322299,352555,342540,408018,452171,519073
371,348452,399766,428229,427122,487450,519741,610332,634229,671520,596094,575978,563364
372,384192,400732,396838,386951,401887,415696,434307,406787,394525,465959,505032,549937
374,710485,792646,852750,913530,824447,846718,885736,891785,931941,807780,789900,963470
375,175544,165932,181713,196091,206971,229920,262785,301472,287320,348364,374921,387137
389,118034,129936,142182,156747,155111,159066,189710,236354,243967,230695,225044,253306
387,936073,925309,1038523,1149300,1205811,1288713,1261763,1398298,1246524,1206421,1255509,1284723
386,66131,74653,78989,73584,66461,66527,68046,72584,76037,78900,96137,99940
388,145220,158537,164208,176244,186551,222539,236158,290110,306550,308754,353405,359663
385,240884,268126,257777,250636,232173,243366,276126,296095,274662,306910,339677,339153
394,129014,120502,127132,142947,149780,174835,204291,221909,260287,280519,290947,323642
395,114797,120748,122173,117929,136308,141005,152226,159397,191975,215968,230305,245603
396,75888,83741,83132,82702,89794,86249,88751,104127,113939,124333,119498,132111
397,187566,202812,238288,217734,219870,233235,217315,220105,229217,243130,246034,307814
410,322426,296479,281135,278000,288602,342147,382509,424210,401980,401559,452466,501597
406,56930,62541,59294,57818,67165,72856,81983,92056,104500,106288,101784,97578
407,612824,615390,634673,726200,684333,696058,731204,722985,876820,839381,927749,842194
405,304619,273243,284007,295149,330575,309261,325196,298208,295065,305256,363997,381627
408,680995,643166,673547,737393,749508,729142,663443,648245,662489,792212,884984,855790
409,649143,633480,571041,539508,581464,669422,657210,692218,794068,774107,817444,873256
999,43718,42613,49589,52581,49667,58700,62233,63756,75220,73973,73297,67973
379,176323,186433,219727,208376,194431,182550,177466,172800,179368,191937,173088,202647
380,36289,35214,37330,41369,41508,39907,35716,32667,31045,33825,40845,41142
378,191959,170282,182922,182742,186433,183253,190608,199440,173926,187149,193869,181517
377,538136,611129,651091,783376,743136,812162,825917,999916,1134953,1272788,1331941,1311019
376,301307,317551,331649,397458,424315,463190,478433,427874,465521,440796,443330,463013
