id,y_1999,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
382,3192,3066,3473,3570,3630,3588,3673,3691,3551,3901
383,4472,4619,5179,4939,5308,5679,5987,6761,6720,7252
381,1724,1942,2020,2285,2617,2633,2549,2793,2977,3132
384,9015,9461,9581,10410,11962,12483,13615,13116,12901,13472
391,9987,11223,11623,11665,11468,11742,11744,13469,13904,13592
393,1640,1790,1931,2075,2224,2520,2524,2502,2445,2325
390,6769,7119,7913,7979,9115,8748,8558,9099,9610,10117
392,4829,5236,5326,5668,6493,7144,7509,7526,8407,8860
398,8413,9463,10123,10959,11787,13464,15301,16006,16300,16296
404,8142,8552,9313,9854,10552,11439,13039,13567,15328,15692
401,2894,2824,2786,3157,3320,3709,3761,4126,4600,5038
399,9773,9961,10832,10716,10673,10202,10677,11269,12240,12643
402,2717,2619,2998,3057,3375,3412,3591,4069,4150,4728
400,3977,4447,4498,4646,5184,5897,6676,6925,6959,7562
403,3366,3410,3456,3486,3506,3795,4140,4426,4258,4142
373,3778,4251,4286,4805,4624,5262,5329,5368,6097,6944
371,2301,2427,2506,2494,2393,2357,2329,2550,2874,2857
372,6484,7453,7239,8264,8096,9165,9600,10206,10251,10175
374,9731,10009,10689,10834,10740,12166,11991,13731,14152,13666
375,8782,8504,8752,8768,10076,10032,10914,12373,12370,12306
389,8974,9823,9395,8999,10027,9972,10368,10901,11148,11238
387,6768,6957,7341,8363,8055,7758,8883,8550,8370,9533
386,4481,4619,4457,4770,5274,5885,6523,7360,7224,6876
388,3828,4350,4165,4625,4605,4761,4888,5592,5561,5745
385,1402,1591,1751,1831,1940,2162,2413,2680,2993,3060
394,3374,3419,3318,3519,3615,3934,3952,4310,4757,4669
395,6829,6734,7636,8364,7991,9025,8608,9864,11246,12655
396,5239,5003,4918,5327,5813,6647,7088,7765,8605,8628
397,7594,8589,8937,9895,10866,12334,13759,13561,14989,16191
410,3635,4127,3963,4302,4704,5242,5996,6306,6096,6723
406,4441,4262,4392,4740,5259,5115,5252,5986,6311,6933
407,7618,8519,8547,8591,8810,9696,9372,9428,10773,11571
405,7948,7686,8808,8612,8572,8897,8683,9501,10753,10295
408,8468,8093,8461,9659,9206,9365,10451,11387,11129,10667
409,3389,3803,3961,4547,5003,4855,5440,6170,6169,6210
999,8531,9434,10760,11343,11582,13089,12786,14389,13993,14049
379,8696,8298,8868,9066,9243,9180,10043,9712,10466,10233
380,1048,1093,1157,1214,1390,1331,1286,1232,1281,1263
378,3922,4078,3950,3941,4489,4890,5566,6040,6876,7905
377,2278,2538,2657,2941,3126,3227,3315,3361,3698,3621
376,3074,3457,3382,3762,3642,3698,3627,3801,3716,3806
