id,y_1999,y_2016,y_2017,y_2018,y_2019
382,672331,708522,715319,695469,684745
383,675380,757758,754803,880407,810648
381,107334,121288,123765,139883,164960
384,194873,193135,177641,207160,197610
391,190310,194465,223226,277615,271159
393,162332,172069,190059,196917,218932
390,811640,756503,770137,833420,866500
392,181431,211667,199517,218516,218417
398,580600,515381,465126,457104,437623
404,518000,569542,597787,603326,690087
401,115335,105252,111050,134359,124123
399,14337,15643,14793,16009,15894
402,195877,229975,224775,241299,279688
400,463903,514656,493267,606180,651083
403,471337,542438,643218,709812,693414
373,859119,849111,1027392,1177871,1226156
371,236028,289613,276851,254117,306358
372,7049,8217,8615,9506,9985
374,11679,11550,12563,11980,12319
375,437669,535347,488187,528820,524245
389,318035,377944,356483,366644,397628
387,210045,209268,217272,197180,229782
386,247354,271644,288719,324537,327813
388,107618,113569,112219,112893,116577
385,444559,436007,420461,472942,477482
394,560329,560237,578432,597883,739709
395,265986,248404,275008,293591,318369
396,76826,76389,85220,77445,86527
397,14132,15750,17562,17752,19845
410,191459,202411,188493,201166,234298
406,96124,103627,109824,116243,120632
407,103115,116348,124486,149080,151404
405,423398,504252,544407,613067,666895
408,44001,41179,42769,39700,43019
409,441441,420991,398263,381818,354454
999,513468,571644,629347,654697,692958
379,108253,109248,104898,114143,105151
380,146080,152410,148181,168784,179995
378,424230,479020,483169,510285,555574
377,61698,70816,71949,79713,79242
376,135272,127460,132262,153983,162317
