id,y_1999,y_2019
382,110106,111936
383,135646,141757
381,208766,216644
384,27212,30367
391,229070,222029
393,93856,102030
390,272409,321569
392,294919,331295
398,310168,323985
404,143511,157830
401,504236,619972
399,38798,34629
402,515225,559030
400,623842,604656
403,311598,321116
373,507752,443480
371,932866,1057141
372,74633,77755
374,825238,819522
375,293428,299134
389,446462,463199
387,119618,134387
386,57676,57684
388,549730,536291
385,158546,149750
394,220427,224853
395,295837,315350
396,79249,79179
397,270130,280070
410,821340,862637
406,129716,137078
407,81913,85866
405,462191,453084
408,43132,43503
409,209510,215328
999,296799,280816
379,117577,127294
380,29871,36221
378,224537,238487
377,900589,908099
376,32532,29614
