id,y_1999,y_2019
382,1435,1406
383,1902,1921
381,3223,3371
384,7965,8956
391,4878,5142
393,8411,9224
390,4530,4979
392,8103,8738
398,8584,8668
404,4823,4899
401,5653,6339
399,1556,1498
402,5609,6252
400,7711,8269
403,6081,5902
373,7419,7131
371,9592,10950
372,4054,4505
374,8368,8401
375,8619,8260
389,9729,10236
387,1822,2002
386,4927,4738
388,6861,7170
385,2081,2116
394,3571,3507
395,4143,4332
396,4996,4750
397,3059,3340
410,8215,8421
406,6543,6399
407,5748,6519
405,6021,6399
408,6208,6390
409,3297,3380
999,7660,7381
379,3510,3541
380,1814,2057
378,2471,2428
377,9747,9503
376,2476,2421
