id,y_1999,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
382,2178,2375,2582,2508,2854,2826,2855,3258,3567
383,2220,2346,2674,2993,3084,3013,3427,3838,3930
381,5468,6148,6747,7221,7023,7650,8775,9180,9531
384,1381,1545,1625,1765,1854,2114,2410,2558,2546
391,2412,2317,2407,2506,2835,2878,3200,3427,3608
393,8473,8537,8631,8263,8627,8729,8758,8615,8199
390,6409,6272,6831,6656,6389,6421,6311,6675,6699
392,1916,2119,2090,2162,2228,2263,2468,2744,2901
398,5275,6032,6012,5900,6465,6642,7040,6842,6514
404,3157,3453,3653,3657,4195,4098,3952,4315,4511
401,3499,3840,3871,4268,4113,4039,4354,4542,4464
399,6792,7199,8007,8393,8906,9127,8916,8471,9293
402,2385,2323,2392,2413,2526,2614,2709,3085,3016
400,3706,4120,4563,5226,5770,5871,5838,5679,5474
403,5499,5693,6497,7035,6815,7448,8048,7697,7337
373,9921,10751,10304,10297,11570,11179,12593,13361,14767
371,6689,7061,7277,7812,8043,8509,9281,10587,10156
372,7177,7313,8107,8086,9286,10005,10090,11001,10515
374,2535,2442,2687,3073,3111,2972,3319,3581,3625
375,3420,3813,4313,4455,4882,4692,5109,4986,4815
389,9343,9590,9969,11342,11161,11289,12301,13855,13323
387,2957,3276,3323,3710,3568,3980,3793,4220,4725
386,6451,6605,6946,7897,8377,8737,9814,10307,11774
388,2733,2899,2819,2791,3009,3175,3637,3646,3487
385,5582,5532,5575,5722,6505,6983,7523,8333,8975
394,7118,7985,8053,8761,9620,9361,10179,11092,12420
395,7959,8756,8627,8677,9268,9996,10402,10690,11964
396,4814,5090,5566,5894,6565,6282,7043,7511,8607
397,8704,8488,8281,8792,9656,9232,10408,11496,11290
410,1392,1351,1467,1581,1512,1525,1648,1739,1865
406,9029,8850,8884,9693,9774,11031,12043,12886,13237
407,8139,8354,9008,10261,9807,11188,11049,12487,12831
405,1198,1359,1345,1501,1686,1699,1657,1695,1746
408,3000,3385,3807,3895,4473,4575,5204,5523,6094
409,6614,7295,8332,9111,9521,10249,10207,10117,10175
999,8511,9344,9871,10798,10878,10510,11766,13279,14532
379,2160,2197,2523,2506,2767,3028,3476,3346,3815
380,9653,9933,11305,11052,12208,13283,15119,16947,19092
378,2834,3085,2946,3305,3530,3911,4469,4818,5197
377,7783,7511,7187,7793,8397,9396,10661,10440,11667
376,3891,4335,4888,4740,4964,5310,5188,5528,5641
