id,y_1999,y_2019
382,1.3,4.6
383,8.2,8.9
381,6.0,9.5
384,6.9,2.7
391,7.1,9.8
393,4.9,9.4
390,3.6,5.8
392,1.3,2.8
398,1.6,5.2
404,8.4,6.0
401,9.6,3.1
399,5.4,7.9
402,9.6,9.3
400,8.4,5.5
403,5.9,8.0
373,9.9,2.7
371,8.4,2.8
372,3.9,5.1
374,7.8,7.9
375,1.9,5.9
389,8.5,9.8
387,7.3,4.6
386,2.7,7.2
388,4.1,2.6
385,7.5,8.6
394,3.7,2.9
395,3.8,7.0
396,6.6,9.1
397,8.9,3.5
410,2.7,3.9
406,5.0,9.0
407,2.1,3.9
405,9.7,8.4
408,8.8,2.5
409,4.7,5.8
999,4.2,9.2
379,4.6,2.1
380,2.4,5.8
378,5.5,2.8
377,7.4,2.9
376,2.7,9.1
