id,y_1999,y_2019
382,9.9,3.1
383,1.1,8.9
381,4.1,1.9
384,9.1,6.3
391,4.9,3.3
393,8.2,9.8
390,3.5,2.6
392,3.8,2.9
398,7.7,4.3
404,7.9,3.1
401,6.2,9.6
399,3.0,6.4
402,9.2,5.7
400,4.1,9.7
403,3.9,7.3
373,9.9,4.6
371,2.8,8.4
372,10.0,3.3
374,9.9,3.6
375,2.4,3.0
389,3.6,5.9
387,8.0,8.9
386,3.0,6.6
388,7.1,1.2
385,9.3,8.0
394,3.7,1.1
395,6.7,9.1
396,4.4,9.2
397,9.9,8.2
410,4.6,6.5
406,1.9,6.7
407,7.5,5.5
405,6.6,5.7
408,6.6,1.5
409,3.9,6.6
999,6.7,9.4
379,2.4,6.7
380,2.3,3.5
378,1.4,5.3
377,2.6,1.7
376,4.5,5.2
