id,y_1999,y_2019
382,2.6,8.6
383,5.5,1.8
381,8.7,5.2
384,6.4,2.3
391,8.2,2.6
393,1.0,8.8
390,5.2,8.4
392,7.4,3.3
398,5.7,6.5
404,8.8,3.0
401,4.9,4.1
399,6.1,3.1
402,2.6,6.4
400,4.7,4.8
403,8.4,5.1
373,4.2,6.2
371,6.8,3.7
372,1.3,2.9
374,3.6,9.1
375,7.3,2.9
389,1.3,6.6
387,1.7,4.5
386,4.0,9.0
388,9.0,7.9
385,9.3,1.8
394,3.6,1.8
395,9.7,9.4
396,6.6,4.7
397,1.2,7.4
410,6.8,4.4
406,5.4,1.1
407,7.2,8.6
405,6.7,1.3
408,9.8,8.9
409,6.9,1.3
999,2.7,6.4
379,7.9,2.3
380,3.4,7.3
378,9.4,7.0
377,2.1,8.5
376,9.5,1.2
