id,y_1999,y_2011,y_2013,y_2015,y_2017,y_2019,y_2020
382,7767,8466,9470,10019,11338,12746,13794
383,9291,9086,8899,9100,10059,10005,9562
381,2908,3017,3073,3313,3444,3582,3681
384,7403,7738,7576,7795,8202,8403,8896
391,2458,2659,2764,2892,3115,3151,3184
393,5710,6029,5738,6499,7191,8140,8332
390,5964,6290,6275,6586,6436,7136,7309
392,9564,10484,10791,11355,11579,12598,13357
398,3347,3291,3218,3136,3479,3817,4268
404,1565,1613,1574,1612,1818,1919,1986
401,6155,6576,6699,6452,7242,7079,7459
399,1011,1093,1214,1256,1293,1431,1459
402,7989,7751,8607,9555,10935,10658,11569
400,6210,6647,7152,7223,7667,8221,8629
403,8986,9790,10398,11841,11338,11982,12936
373,2141,2171,2081,2361,2380,2561,2451
371,9315,10584,12033,13333,14010,15606,15604
372,7817,8689,8579,9543,9768,10562,11071
374,6448,6276,7098,6769,7470,7360,7475
375,8774,9179,8913,9397,9790,9306,8907
389,1201,1166,1332,1458,1673,1855,1900
387,9870,10936,10497,10797,11312,10893,11766
386,2947,3235,3691,3940,4515,4614,5145
388,1666,1703,1696,1919,1848,2090,2181
385,4792,5360,5375,5356,6086,6407,6492
394,9304,9616,10956,11769,11350,12868,14381
395,4260,4504,5085,5547,5972,6383,7064
396,6915,6769,7277,7901,8159,8779,9171
397,5512,5769,5701,6220,6012,6849,7518
410,3062,3492,3515,3874,3958,3964,4219
406,7798,8900,8490,9543,10918,10803,10870
407,7616,8490,8427,9170,8807,9220,9527
405,5470,5855,6654,7321,7261,7268,7508
408,4578,4880,5387,6068,6787,7134,7385
409,2620,2550,2803,3064,3390,3861,3984
999,3740,3656,3646,3956,3883,4387,4838
379,9221,9032,10314,10014,10012,10482,11681
380,8143,9253,10350,10885,11234,12468,12599
378,3847,3805,4354,4657,4950,4711,4676
377,4394,4760,4673,4847,5096,5097,4896
376,5163,4938,4719,4565,4781,4565,4885
