id,y_1999,y_2000,y_2010,y_2019,y_2020
382,7331,8402,9470,10457,10067
383,8261,9243,10611,11624,12364
381,1446,1390,1552,1586,1642
384,4287,4794,5506,5313,5517
391,5753,6104,5958,5791,6310
393,5805,5514,5769,6212,6498
390,6292,6184,6588,6310,6975
392,2249,2546,2520,2694,3031
398,8844,9946,10649,11701,12228
404,4623,5278,5295,5733,5851
401,4082,4560,4935,5364,5497
399,3655,4012,4533,5182,5373
402,5081,5697,6070,6638,7403
400,6769,6826,7234,7630,7655
403,6749,7685,8433,8278,8241
373,6109,5856,5920,5923,5714
371,2841,2724,2619,2601,2481
372,2313,2463,2595,2919,3292
374,3130,2982,2942,2982,3135
375,6186,6021,6178,6485,6760
389,3978,4253,4592,4373,4954
387,9402,9513,10142,9767,10960
386,7352,7301,7245,7595,8552
388,2246,2420,2302,2392,2467
385,1761,2001,2009,2147,2223
394,6992,7105,6795,7377,8214
395,2341,2537,2472,2777,3187
396,1187,1217,1287,1424,1592
397,1613,1672,1747,1937,1883
410,8344,9206,10475,11024,12321
406,5569,6322,6876,6789,6955
407,9273,9889,10599,11238,12120
405,1832,2060,2116,2203,2151
408,8143,7976,8335,9529,9799
409,7663,8728,9564,10371,10131
999,4118,4074,4234,4060,4512
379,2022,2173,2318,2523,2658
380,8515,8455,8961,9112,9191
378,2079,1988,2093,2254,2365
377,6681,7117,8173,7797,8300
376,4929,5640,5975,6793,6661
