id,y_1999,y_2012,y_2019
382,8264,8599,9249
383,4485,4503,4873
381,8338,9508,9500
384,8918,9911,9518
391,5823,6538,6984
393,3210,3290,3589
390,7956,7870,8778
392,2106,2406,2712
398,7105,7651,7759
404,4871,4929,4948
401,9574,9181,9043
399,1328,1456,1586
402,7719,7732,8496
400,8249,9062,8824
403,7076,8028,7705
373,4438,4328,4425
371,8520,9525,10650
372,1031,1032,1146
374,1089,1209,1178
375,5432,5903,6011
389,1183,1260,1260
387,3818,4166,4107
386,6321,7235,8193
388,5736,6147,6008
385,9753,11105,11556
394,2745,3011,3370
395,3616,4053,4021
396,6478,6638,7513
397,5471,5736,6036
410,3565,3661,3665
406,9869,10771,11019
407,7270,8272,8857
405,8634,8936,9763
408,6634,7214,6901
409,6087,6202,6958
999,4325,4824,5231
379,1435,1523,1472
380,6422,6898,7924
378,6763,6693,6712
377,7673,8105,8170
376,7521,7155,7597
