id,y_1999,y_2012,y_2013,y_2019
382,75656,69305,63458,56171
383,53214,58608,70976,78951
381,97457,108598,116380,114558
384,8747,9462,9742,9669
391,350420,372807,388476,393227
393,186789,169535,172516,155939
390,400900,453234,480746,438479
392,522347,570015,618668,699173
398,219164,214944,218854,252143
404,481614,439222,500380,485724
401,310098,331404,333354,372033
399,243415,281118,296742,281358
402,419103,477716,513567,510590
400,91858,100231,88833,85169
403,220055,232374,279814,249769
373,166254,184559,211663,236999
371,378490,371541,389737,449307
372,413441,431451,410942,436246
374,278152,310689,361490,398827
375,258306,304376,330408,380130
389,15682,15600,19319,20002
387,356151,401993,425426,449707
386,129574,148348,139676,153614
388,487214,480989,496431,524864
385,158453,168320,175039,170127
394,417982,422575,398697,431445
395,25618,25749,25910,29312
396,268316,299830,294932,278221
397,315558,288607,306775,309766
410,104407,109598,115123,124848
406,75405,82212,83635,97661
407,451080,501612,565083,542391
405,169227,201663,183777,167488
408,4888,4356,4693,5015
409,378739,347084,405039,442806
999,282634,299986,327193,380488
379,5225,5469,6472,6606
380,443784,444706,524915,629149
378,224597,240969,213617,259785
377,438982,455540,468937,489079
376,412706,399649,394000,396707
