id,y_1999,y_2019
382,885778,839323
383,782640,866436
381,70605,80408
384,188586,208504
391,206908,248401
393,218943,252237
390,354750,339709
392,182036,212099
398,523595,540878
404,722619,739394
401,416003,422442
399,323472,335715
402,70864,75149
400,221716,233690
403,52408,55319
373,500635,593253
371,336348,372006
372,227038,230235
374,40687,44037
375,32214,30150
389,67311,68916
387,105845,113705
386,335699,356478
388,321214,336971
385,68850,73383
394,935526,964879
395,226114,257462
396,474660,446666
397,276057,275090
410,450737,462605
406,119894,129013
407,484538,445092
405,377679,373953
408,595625,528640
409,64310,66321
999,203518,196402
379,485526,518806
380,80320,86034
378,19605,20165
377,108139,99922
376,579672,588117
