id,y_1999,y_2012,y_2019
382,474820,560533,536919
383,485698,523132,543312
381,842691,780937,766017
384,157576,185400,186351
391,284677,326941,381446
393,382382,381212,440323
390,76189,83015,92752
392,91659,95391,99638
398,14514,16908,16720
404,926545,943945,1036706
401,293656,301595,341792
399,121559,114138,130090
402,624047,644379,654828
400,734441,805667,729410
403,490129,481237,512401
373,377014,395407,428517
371,644036,675208,727343
372,375044,334200,292033
374,516730,551586,511125
375,113944,131536,135771
389,22566,26038,29709
387,881872,834355,718369
386,397415,357183,370918
388,30145,33355,35099
385,48137,49561,48581
394,37760,44227,44340
395,700347,736513,707090
396,474904,434512,405321
397,672526,735163,718470
410,566496,693548,710695
406,29777,30423,32464
407,308819,309454,343930
405,171947,167739,199692
408,417299,406482,441124
409,433811,407590,500058
999,17925,17582,16070
379,110415,103837,101009
380,247336,262193,284583
378,38919,46266,46979
377,166740,193865,219481
376,217774,228953,231342
