id,y_1999,y_2015,y_2019
382,72185,85976,84946
383,141648,159680,182216
381,191591,188340,213008
384,254671,277695,254157
391,300155,300516,289200
393,47276,45088,50055
390,71586,75175,75529
392,40290,45523,48455
398,495345,520724,599252
404,161703,198965,206025
401,31299,36658,42603
399,171689,154519,167613
402,43967,49996,49295
400,2836,2694,3038
403,131373,131833,147081
373,159658,181157,178330
371,114469,139591,165513
372,463660,567814,618587
374,352493,403761,485525
375,149316,167345,165540
389,471801,495249,513887
387,782267,784495,902304
386,53801,56534,67597
388,36129,38296,39380
385,31896,31696,36132
394,762541,897464,967805
395,130212,133740,150376
396,173573,164777,170694
397,352190,382062,410470
410,304546,340183,352607
406,555944,562144,615934
407,23483,24302,25072
405,341384,409931,452781
408,221726,258136,258019
409,286716,322517,356486
999,299633,316237,309396
379,823784,873351,919508
380,152904,181608,167220
378,370201,417062,463669
377,487800,513790,542274
376,234235,260709,247045
