id,y_1999,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021
382,259831,292673,260194,262941,285236,302465,375835,413585,461977
383,254401,295576,329074,354897,367848,362492,388143,379375,390888
381,71036,77016,82245,95102,99153,104761,103689,111907,117676
384,299252,323763,326306,365442,406199,450142,501401,473115,502369
391,204003,204682,217125,255239,291222,301813,268847,258302,267428
393,66096,81379,84022,77227,89833,83285,86889,90762,93701
390,45445,50165,55701,63346,62235,63837,60909,60652,63140
392,24319,23631,26706,27711,26438,29201,29803,30357,28271
398,27390,26039,29893,31289,31854,27882,30565,32517,34428
404,272205,311702,319245,369019,411948,419397,430341,412776,390047
401,190234,204404,252931,287830,291157,299853,344569,343372,393930
399,504933,522427,601012,584052,574108,527433,630169,660529,615311
402,57124,58767,61738,75404,72652,73174,71155,73025,64640
400,228781,203746,191234,192823,190566,201950,218956,240852,222794
403,156923,147247,172865,171453,170301,165379,186083,179587,184777
373,609213,656775,700701,836458,845540,810889,876368,794457,709073
371,73506,69661,61263,66320,74526,87367,78336,82973,90345
372,118822,113667,120279,147499,162894,176602,161171,171800,205914
374,334236,362277,368550,387296,411258,411043,435223,402611,470681
375,478299,506750,587143,702173,771620,786197,947994,1082319,1112291
389,18194,19759,19058,20253,21381,22710,20523,21559,23932
387,154490,176704,207356,203119,230904,226235,247907,271651,285354
386,173314,180399,169288,180197,179629,208088,242678,247493,259103
388,127388,130018,127573,147556,130540,158615,178258,172453,184871
385,345470,363434,414538,416610,478773,545182,540665,575199,606264
394,444657,445199,488749,564077,678798,762813,729400,657336,675684
395,312255,328911,364332,374835,397090,440642,453823,494578,518908
396,124139,137923,129263,148235,172866,188655,173305,160395,150722
397,53303,62558,75350,68611,79290,80248,82176,84733,87739
410,137096,123838,153155,167323,181735,195815,195893,209989,246673
406,257056,231278,219739,236719,239204,251050,267760,261316,310053
407,155494,157074,168431,154027,160807,196255,220547,210249,182788
405,804841,941022,964880,1110861,1204471,1294467,1354569,1424134,1396554
408,160684,174970,171052,180613,173864,156813,175712,170249,150117
409,149763,174465,198585,184870,201049,225312,203027,243282,279310
999,199928,234106,256622,269102,244174,244348,271531,320683,347249
379,643993,798137,723724,704551,616210,712599,884852,836277,745692
380,283613,266808,287949,301574,367902,359210,378899,416640,404911
378,254101,236849,255566,249254,274782,284611,262060,287172,263631
377,441626,434716,495157,509308,606324,645004,716676,858220,821106
376,11041,11626,12901,14710,14725,13826,14901,18027,19226
