id,y_1999,y_2019
382,8.3,4.5
383,6.8,7.6
381,3.9,8.2
384,4.8,4.2
391,1.2,9.1
393,1.1,9.1
390,7.0,5.1
392,4.8,2.9
398,6.6,3.9
404,4.4,8.8
401,9.2,8.9
399,1.5,7.5
402,2.4,3.4
400,5.6,5.7
403,7.2,2.5
373,9.6,9.2
371,3.9,2.4
372,7.9,2.7
374,4.2,6.9
375,4.4,1.6
389,1.3,6.3
387,3.0,8.3
386,8.4,6.5
388,4.3,3.8
385,7.9,5.1
394,7.1,8.0
395,5.6,4.7
396,6.8,6.8
397,2.6,7.0
410,1.2,5.8
406,3.4,5.4
407,6.8,4.0
405,4.1,8.1
408,7.4,1.9
409,2.0,6.4
999,1.7,1.4
379,1.5,7.7
380,2.4,8.4
378,1.1,4.7
377,3.2,2.0
376,3.6,7.5
