id,y_1999,y_2012,y_2019
382,7678,8710,8828
383,6307,6716,7623
381,9562,9837,10085
384,5841,6563,6237
391,3113,3281,3546
393,5585,5774,6394
390,8290,9255,9767
392,8195,8178,7783
398,5511,5994,6112
404,9652,9494,9572
401,7318,7870,8780
399,4399,4390,4715
402,6633,6407,6771
400,8881,9131,9139
403,9091,9102,9279
373,6374,6896,7137
371,6915,7438,8258
372,7809,7550,7305
374,8664,8747,8755
375,1598,1723,1875
389,4397,4761,4950
387,9440,9771,9297
386,4309,4135,4644
388,1834,1856,1924
385,5244,5393,5188
394,4648,5175,5398
395,7604,8586,8236
396,5715,5581,5526
397,9569,10210,10576
410,9484,10880,11324
406,1372,1452,1496
407,3107,3086,3312
405,2486,2649,2885
408,9022,9573,10074
409,7789,7651,8779
999,2582,2655,2589
379,3073,3018,3218
380,3552,3778,3887
378,1312,1463,1630
377,4371,4698,4861
376,4720,4779,4642
