id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2020
644,207,469,146,379,53,458,162
645,148,275,201,432,173,408,48
646,199,271,365,315,316,31,403
647,423,267,48,195,383,226,186
648,141,120,192,71,91,26,140
649,317,300,396,76,251,270,419
650,409,318,91,399,275,371,144
651,123,368,245,246,201,103,30
652,188,137,91,473,370,406,150
653,350,277,192,244,491,455,402
654,497,135,489,332,389,104,313
655,375,487,449,265,409,341,302
656,399,271,359,462,366,341,474
657,384,68,215,82,364,385,118
658,327,118,17,326,410,426,151
659,146,462,136,30,136,493,372
660,340,125,164,330,193,150,222
661,355,362,303,423,19,209,17
662,308,438,489,376,379,256,358
663,348,236,160,389,106,307,473
664,363,350,92,51,412,49,69
665,481,372,463,183,51,429,331
666,133,454,85,280,120,265,301
667,148,78,106,257,290,492,237
668,339,465,458,204,445,413,302
669,50,58,411,128,324,247,459
670,95,305,386,326,55,392,375
671,34,237,433,13,332,78,43
672,160,149,487,304,101,240,90
673,301,133,213,13,29,127,93
674,380,49,430,203,297,257,466
675,337,321,304,237,311,95,446
676,197,318,46,319,187,85,123
677,100,215,132,217,431,218,226
678,315,136,333,320,213,81,360
679,18,50,434,251,78,348,112
680,16,77,17,462,20,17,140
681,231,279,107,376,199,267,277
682,347,379,115,63,39,106,439
683,423,273,87,447,452,184,157
684,63,163,59,372,86,239,328
