id,y_1999,y_2013,y_2014,y_2015,y_2019,y_2020,y_2021
382,8183,8423,8865,9217,9342,10242,10986
383,1923,2072,2287,2567,2754,2727,2666
381,3968,4554,4736,4857,4916,5438,5393
384,7540,7335,7217,6975,6653,7398,7271
391,8885,8718,9444,10095,10240,11582,11888
393,2070,2071,2168,2217,2448,2354,2415
390,9905,10175,9870,9425,9734,11096,12555
392,1594,1538,1629,1580,1760,1900,2180
398,7617,8485,8951,9355,10464,11097,11322
404,1118,1177,1120,1220,1282,1429,1557
401,3164,3091,3210,3188,3032,3371,3729
399,9549,9626,10341,10836,10308,10884,11127
402,1547,1776,1980,1972,2193,2422,2752
400,6317,6504,6647,6466,6889,7491,8332
403,4822,4862,4738,4518,4502,4978,5719
373,6830,6757,7485,8049,9201,9368,9288
371,1411,1518,1494,1450,1450,1661,1661
372,9349,9942,10037,9574,10669,11118,11851
374,5310,5507,6230,6106,6192,7118,7916
375,4673,4645,4448,4434,4705,4531,4572
389,9243,10017,10276,10829,10895,10625,10346
387,8826,8484,9331,10458,11596,12285,13164
386,5523,5610,6448,6374,7157,6837,7104
388,6372,7143,7799,8624,8557,9034,8996
385,2084,2052,2238,2553,2464,2530,2409
394,7160,7273,7728,7574,8021,8717,9593
395,8474,8546,9018,8996,9085,9400,9863
396,1876,1977,1922,2092,2264,2282,2214
397,2688,2998,3325,3221,3421,3866,4035
410,5579,6252,7105,8002,8710,9405,9501
406,6295,7208,6891,6574,6622,7198,8053
407,1114,1106,1224,1381,1466,1482,1424
405,6875,6989,7470,8455,8160,8212,7803
408,1339,1388,1557,1561,1632,1697,1949
409,3483,3823,3924,4402,4467,4496,5125
999,1753,1773,1769,1861,2003,2251,2476
379,5467,5576,6192,6420,6633,6963,7323
380,8764,8615,9731,10698,10661,10235,10590
378,8237,8259,8304,8649,8913,8556,8274
377,7228,7656,7707,8225,8552,9412,9170
376,1509,1639,1655,1862,1828,1942,2200
