id,y_1999,y_2019
382,9601,9692
383,9114,9656
381,2240,2446
384,7217,7910
391,5155,5681
393,2412,2597
390,4438,4403
392,4455,5094
398,5474,6002
404,7390,7717
401,8766,9056
399,4559,4563
402,6565,6382
400,2754,2907
403,2875,2991
373,9838,10708
371,7245,7812
372,5930,6662
374,1529,1580
375,1977,2007
389,6765,6838
387,9092,10323
386,9774,9608
388,4260,4756
385,3336,3759
394,9875,9801
395,9905,10290
396,6551,6365
397,3079,3159
410,5971,6298
406,3551,3806
407,9793,9870
405,4174,3992
408,7500,7331
409,6911,7736
999,3565,3718
379,6008,5912
380,1200,1284
378,1718,1660
377,1243,1221
376,5944,6386
