id,y_1999,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
382,383363,384518,356178,375438,405232,469066,508493,514459
383,23815,24123,26282,28232,31509,28899,33518,35004
381,312063,313480,392180,361865,335049,349955,403026,379163
384,488054,508482,533055,467399,481467,528246,530303,482689
391,119945,137406,157763,167807,207916,218230,196777,200874
393,693990,632699,729076,725433,817193,912643,923455,1094073
390,383389,399261,478455,555745,591953,626780,598899,564226
392,84431,88276,82751,91183,100406,114526,114950,112676
398,637327,567219,632146,673637,674556,668393,772427,852375
404,497561,508005,506013,523874,533950,546503,573091,523466
401,261916,282825,284413,293395,309322,308491,362543,343140
399,89274,87206,90060,99624,93488,82919,84609,81879
402,242624,215031,234908,255010,290768,344957,392959,418901
400,119332,123645,133063,165439,170102,194608,209197,221418
403,737789,678801,741981,854027,1004440,1184354,1127579,1228203
373,665808,753983,750105,697639,757951,884408,883835,938114
371,235778,229268,220291,250623,237262,236107,271087,269925
372,650799,769926,865065,907158,983734,1008920,1059801,1152322
374,84662,79519,91032,90224,108858,112438,106269,122185
375,466413,579901,611474,701015,659891,711428,829133,748183
389,957376,1155152,1315246,1510272,1563831,1542324,1729409,1831683
387,784473,781638,792891,760037,809449,904744,942774,1054026
386,110003,128014,119561,118899,113682,137337,159404,183770
388,170017,166512,158979,182284,173548,156156,165497,160202
385,792022,877886,823443,766694,922933,850799,978386,1178714
394,140542,142900,155893,163415,160854,176991,187259,216056
395,7553,8508,9331,9723,9314,9661,10421,10337
396,537836,576732,598428,732412,819237,719727,820552,896486
397,463099,517233,595552,553846,569407,588285,614671,715237
410,30932,34395,33701,33730,30756,37301,40551,41443
406,98561,112194,132105,129121,131974,129236,138796,133092
407,508866,610629,710852,744461,794609,732140,829956,984134
405,85912,85364,85848,84298,74807,80925,90602,98599
408,601242,667103,696721,714867,725453,789171,872120,865223
409,82807,92260,82488,98616,93410,97603,99943,93372
999,23418,24268,26997,28004,30408,34400,35680,38902
379,513454,499636,581563,589663,618935,612538,594375,619187
380,194139,216271,223204,242894,278509,272343,252316,282007
378,224868,215171,221894,222445,220814,245594,266026,300927
377,19694,20169,17846,19110,18799,18003,19807,19942
376,66557,75446,85710,89770,87319,91062,102247,110559
