id,y_1999,y_2016,y_2017,y_2018,y_2019,y_2020
382,1733,1837,2111,2327,2646,2632
383,9810,11156,10645,11682,12554,14263
381,1192,1211,1190,1353,1421,1396
384,2654,2582,2518,2457,2398,2552
391,5057,5546,6054,6865,7271,7345
393,9751,9976,10886,10766,11580,12583
390,2916,3331,3434,3646,3871,3990
392,5361,5292,5763,5583,5770,5611
398,8810,9988,10965,11572,11092,11806
404,5429,5462,5427,5460,5380,5935
401,4971,5654,5711,5841,6604,7187
399,3496,3830,4303,4414,4686,5230
402,3341,3420,3774,3979,3958,4232
400,4189,4632,5184,5256,5451,5192
403,4167,4357,4751,4877,5489,6188
373,1434,1599,1788,1698,1871,2087
371,1308,1400,1387,1576,1501,1671
372,3793,3960,3902,3742,4069,3906
374,6857,6946,7741,7862,7632,8054
375,5405,5414,5719,5532,5805,6527
389,8117,7868,8159,7891,8859,9586
387,3250,3601,3603,3476,3466,3489
386,8393,9570,9768,9413,10487,12052
388,9091,8709,8524,9042,9357,10621
385,7477,7345,7359,7103,6850,7681
394,2248,2455,2748,2931,3231,3691
395,4457,4896,4666,4800,5024,5468
396,8528,8863,9285,9662,9584,10919
397,6370,6457,7089,7463,8219,8802
410,8592,9192,9010,9477,9029,8861
406,9176,9078,8899,9275,9076,9841
407,7099,7457,8572,8913,9394,9645
405,9719,10702,10887,11571,12591,14074
408,1452,1631,1778,1883,1893,2050
409,7900,7829,8779,9354,10101,9708
999,9418,9099,10057,10021,10462,11211
379,9785,9450,9353,10745,12323,13617
380,9556,9624,9989,10899,12479,13468
378,1591,1611,1660,1583,1673,1737
377,5135,5726,5769,6611,7163,7830
376,4880,5416,5527,5718,5700,6380
