id,y_1999,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
382,5075,5571,6003,6639,6717,7692,8182,8249
383,9298,9843,10768,11742,12430,13739,15583,15321
381,4668,5115,5567,5920,6258,6811,6849,7760
384,3685,3849,4327,4427,4568,4648,4828,4964
391,4646,5332,5288,5066,5360,6015,6187,6512
393,3463,3499,3759,4159,4005,4217,4656,5112
390,6606,7220,8223,9393,9025,8771,9143,9029
392,6177,6492,6660,6839,7661,7651,8337,8673
398,3529,3551,3679,3955,4514,4677,4974,5224
404,8004,7980,8883,8905,9709,9731,10172,10375
401,2646,2933,2822,3121,3279,3720,3537,3904
399,3092,2986,2914,2856,3007,3134,3442,3860
402,4118,4579,5202,5156,5616,6083,6559,6558
400,1764,1716,1810,1836,1991,2140,2364,2530
403,9021,9074,10283,11293,11160,11483,12921,13147
373,7288,7490,8436,8465,9335,10430,11200,12063
371,4046,4259,4773,4824,5243,5782,6196,7101
372,6046,6451,7356,8373,9625,9941,10365,11803
374,6430,6770,7614,7833,7891,8646,9339,10713
375,6045,5794,6354,6943,6830,7133,6960,7298
389,2577,2620,2776,2751,2760,2704,2569,2634
387,6156,6510,6939,7440,8157,8146,8197,7801
386,8627,8935,8820,8625,9736,10578,10227,10686
388,9642,9420,9729,10923,11665,12846,13330,13101
385,8111,8418,9049,9795,10479,11511,13228,14562
394,6935,7808,8480,8983,10086,10392,10920,11610
395,7480,7953,8278,8366,9554,9673,10561,10156
396,2051,2239,2519,2778,2914,2830,3158,3189
397,5373,5769,5508,5808,5939,5983,5907,6343
410,9061,8809,9548,9760,10054,9766,9310,9741
406,6106,6698,7024,7197,8066,8128,8596,9145
407,8640,8739,9369,10388,10996,11606,13278,13384
405,9752,11194,11361,11548,13044,13045,13175,12829
408,8584,9760,10118,10041,10278,10660,11392,12965
409,8582,8275,8085,8375,9319,9014,9006,9077
999,8037,7839,8164,8943,9052,10303,10825,11090
379,9051,10386,11684,12330,13380,13234,13967,13502
380,8804,9366,9513,10643,10730,11096,10762,10764
378,9440,9026,8845,8648,8579,8210,9001,9965
377,7515,7932,8393,7978,8966,9418,9419,10035
376,5199,5759,5893,5619,6274,6515,6628,6648
