id,y_1999,y_2019
382,7888,8440
383,3437,3938
381,4617,4729
384,7186,7912
391,1681,1745
393,8166,9242
390,9354,9350
392,3531,3536
398,7646,8706
404,4431,4786
401,7457,7103
399,5152,5165
402,4197,4718
400,5618,5482
403,5143,5127
373,8571,8979
371,3260,3564
372,7167,7708
374,8351,8229
375,2064,1978
389,7325,7355
387,9766,10694
386,3249,3316
388,5114,5603
385,2374,2423
394,3317,3719
395,3732,3682
396,4498,4983
397,5103,5394
410,8900,8570
406,2190,2460
407,9005,9063
405,1823,2081
408,2233,2248
409,4903,5613
999,1799,1982
379,3497,3356
380,8776,8666
378,7703,8515
377,1603,1542
376,2191,2315
