id,y_1999,y_2010,y_2012,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
382,6951,6646,6788,6491,6489,6411,6417,7341,7278,7920
383,2817,2772,2734,2882,3306,3464,3714,3555,3624,3503
381,7981,8325,9343,8937,9653,9900,10780,10384,10300,10613
384,9091,9289,10397,11513,12466,12941,13180,12538,12122,11942
391,3877,4149,4480,5104,5458,6187,6258,6663,6729,6787
393,8724,9946,11363,10853,11889,13390,14599,14115,14051,13922
390,1972,2039,2231,2375,2278,2240,2240,2179,2101,2267
392,4908,4672,5207,5494,5264,5100,5576,6328,6748,6457
398,2831,3059,3272,3208,3160,3289,3673,3553,3847,3845
404,8265,8681,9799,10112,10609,11969,13318,14762,16942,18531
401,6784,6758,7123,7839,8638,8537,8775,9007,8793,9035
399,1911,2084,2236,2130,2225,2528,2822,2789,2745,3155
402,3405,3433,3929,4293,4524,4865,4742,4877,5538,6080
400,6153,6032,6333,7141,8124,9177,9677,10816,10445,10659
403,4076,4448,4884,5224,5515,6041,6097,6776,7060,8080
373,6995,7957,8529,9723,10464,11355,11965,13150,14940,15012
371,4666,4871,4727,5388,5333,5855,5843,6033,6609,6332
372,1075,1031,1110,1268,1224,1276,1324,1432,1542,1653
374,9760,9882,10743,11531,12822,13534,13180,12556,14045,15433
375,7706,8538,8319,8600,9671,9318,10073,10135,9743,10005
389,2304,2287,2338,2420,2302,2297,2342,2242,2568,2488
387,8700,9318,10302,11242,11113,11037,11221,10949,11058,11648
386,3074,2977,3180,3181,3361,3251,3707,3971,4400,4471
388,6396,7202,7024,7370,7570,7851,8354,8156,8206,8289
385,4763,5119,5477,5290,5516,6164,6577,7327,7826,8921
394,1509,1674,1915,1832,1854,1770,1915,2080,1992,2271
395,9638,10941,11926,13410,14127,15916,16075,17175,17151,18515
396,9858,10539,10790,11258,11140,11538,12285,11942,12063,12173
397,3753,4147,4579,5159,5409,5220,5244,5293,5597,5495
410,2724,3106,2978,3187,3512,3817,3632,3740,4233,4276
406,6012,5794,5722,6183,6323,6891,6877,6619,6408,7185
407,2202,2454,2600,2752,2921,3081,3217,3139,3147,3147
405,5693,5970,6153,6618,6780,7443,8247,9460,10404,11423
408,1941,2125,2293,2604,2804,2862,2721,2988,2949,3262
409,5034,5778,5676,6203,6345,7106,6966,6667,7151,8207
999,3633,3704,3861,4282,4633,4696,4537,5077,4983,5601
379,5221,5688,5533,6105,6111,6322,6873,6635,6686,7607
380,9160,9261,10450,11604,11389,12036,13375,13257,15118,15339
378,2229,2428,2357,2486,2477,2571,2466,2826,3239,3434
377,8556,9406,10070,9757,11086,11500,11917,11594,13189,14359
376,2091,2193,2358,2321,2294,2580,2571,2611,2654,2846
