id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2021
644,259,231,357,263,294,220
645,40,280,357,496,279,487
646,469,250,467,156,349,122
647,51,74,36,82,150,455
648,264,378,164,158,272,428
649,268,397,72,103,189,136
650,97,340,492,242,87,370
651,252,57,421,244,288,291
652,262,57,92,241,13,372
653,228,292,137,269,285,276
654,336,47,408,250,14,373
655,164,56,116,87,275,140
656,179,499,480,162,495,140
657,288,384,57,170,402,303
658,41,141,139,253,67,402
659,272,477,311,110,446,116
660,98,223,479,87,348,29
661,488,272,264,347,198,180
662,488,159,329,339,133,177
663,178,54,281,279,433,215
664,488,21,413,374,301,159
665,108,79,88,274,83,426
666,94,394,192,279,119,198
667,45,111,72,49,275,351
668,303,21,71,473,28,262
669,132,76,138,91,457,174
670,493,25,273,103,212,81
671,205,432,188,386,390,10
672,21,269,466,31,389,271
673,412,398,50,82,478,456
674,178,406,355,74,256,181
675,403,191,481,414,469,32
676,326,486,282,266,461,71
677,120,437,387,243,108,237
678,438,281,208,126,432,68
679,114,413,301,306,121,485
680,472,262,289,180,272,134
681,344,231,78,222,123,481
682,430,392,279,272,196,366
683,480,484,68,138,318,368
684,117,148,486,179,130,251
