id,y_1999,y_2010,y_2012,y_2014,y_2016,y_2019
382,16315,18603,19331,21625,19568,21130
383,784549,944157,987545,985308,967310,936840
381,195850,226057,270030,246646,287102,289874
384,281896,299573,300114,301257,302447,274368
391,794158,922556,1029601,976888,1100245,1051062
393,181341,192760,221185,226316,262386,275517
390,69962,74130,74248,79143,75994,85294
392,57630,57058,64540,63593,58771,55930
398,686101,665390,683609,714109,840144,802504
404,272610,290708,355765,311655,354110,360157
401,172836,163140,154229,162119,195032,193404
399,353593,383622,436141,486744,515162,535384
402,274285,298054,294919,304644,340653,352439
400,212063,227391,209969,234910,271320,303410
403,346528,371046,368808,392020,405523,424410
373,440327,433775,458565,479599,485810,494425
371,369256,388483,414747,437021,400978,454223
372,453460,462433,466664,540245,542724,553170
374,51413,46615,43868,46436,55107,62556
375,42918,46507,51647,53380,53342,54819
389,17830,16662,17130,17856,16928,15444
387,55366,58277,63795,68025,77499,79900
386,40155,41070,41636,43443,45926,55295
388,262154,283491,314333,330783,306855,307947
385,64673,65385,62762,73114,81675,93882
394,90334,89490,96298,98086,96695,100568
395,11970,12872,12382,12652,13160,13949
396,538683,623829,634804,619862,604295,604246
397,354190,373810,379889,417109,395748,458252
410,355395,335813,333103,379900,390308,377239
406,351418,370503,372462,347849,354410,430738
407,94442,91843,111148,98959,112941,118136
405,428832,445231,435386,517552,591389,574305
408,85810,78400,81393,82110,91728,111764
409,53695,50926,48747,43423,41167,39973
999,352434,407980,461314,457186,466158,416005
379,6405,6905,7348,7289,6947,6187
380,312387,298771,292133,349149,420607,427232
378,33348,37978,40711,40566,38069,38511
377,71206,76775,82445,92349,87247,95990
376,472153,495770,495492,495146,508984,486013
