id,y_1999,y_2013,y_2019,y_2020,y_2021
382,1205,1362,1500,1691,1664
383,7596,7727,7799,7657,7553
381,6340,7214,8214,9314,9585
384,1193,1138,1203,1157,1224
391,4387,4331,4673,4996,5369
393,3734,4012,4218,4585,4512
390,2187,2414,2676,2774,2726
392,2669,2814,2765,2729,3030
398,9284,10487,10848,11137,11103
404,3124,3255,3348,3331,3352
401,5440,5628,5758,5507,5585
399,3969,4039,3957,4035,3911
402,5167,5918,6795,6715,6905
400,9657,10765,12042,11963,11629
403,3237,3361,3692,3638,3683
373,5040,5344,5766,6224,6762
371,6295,6100,6676,6571,7220
372,2406,2308,2350,2468,2500
374,3823,3920,3978,4289,4657
375,5125,5057,5471,5821,6316
389,9675,9553,10781,10587,11532
387,4068,4611,4826,4788,5076
386,1812,1817,1820,1844,2063
388,7394,8402,9075,9990,10503
385,2733,2775,2955,2899,2814
394,6405,6969,7652,7349,7508
395,8141,8843,9489,9343,9364
396,8704,9871,10402,10864,11249
397,9539,9334,9987,11301,12983
410,1524,1539,1590,1572,1655
406,6531,7261,7192,7998,8104
407,9650,9216,9905,10555,11367
405,5740,5644,6471,7159,7082
408,2169,2294,2565,2806,3012
409,6029,6860,6903,6853,7805
999,9080,8852,8635,8991,8725
379,3700,4161,4131,4541,5085
380,4601,4620,4587,4965,4895
378,9108,9566,10709,10489,10844
377,6343,6849,6549,7251,7449
376,2706,2953,3250,3352,3330
