id,y_1999,y_2011,y_2013,y_2015,y_2017,y_2019,y_2020
382,162182,150689,184341,200268,234320,283361,316494
383,123810,123865,125161,135607,158077,185677,209764
381,569724,526577,570906,615076,683561,625062,686417
384,94034,108689,121715,146329,137434,151209,175496
391,14134,16885,18897,19288,20735,20942,20334
393,593702,689245,839932,880205,929543,938922,901925
390,208929,222103,246138,301604,319692,308944,313712
392,606604,560811,599309,605016,586119,687243,821783
398,279171,273777,267339,295163,258683,289403,348686
404,259366,257100,259504,271867,268293,252614,269827
401,237969,210175,220772,208166,188758,219435,244539
399,115068,123846,126905,115398,105008,110989,133270
402,92387,81989,98736,108232,102797,109262,131325
400,174361,171483,192615,211228,225174,253789,261269
403,543008,605830,617029,735369,818005,794810,898348
373,316257,319407,300113,333363,351978,380338,358058
371,198808,214790,236220,265618,247686,250450,263798
372,93953,99036,111713,123070,116405,119820,125042
374,447877,506433,497508,482442,556140,518233,523753
375,339078,375932,393881,393418,394742,375369,354157
389,642196,640703,596030,706339,752112,906140,803308
387,139411,153814,182398,199395,206521,242114,264664
386,302814,293040,286479,316464,298541,305404,325630
388,19886,19468,21336,20130,18646,18174,18027
385,44887,47851,53860,58940,64651,65515,62783
394,138152,148285,173444,184241,179458,195080,204570
395,312916,317685,347958,394999,394943,445423,444746
396,600577,648837,666035,737054,656229,606807,679972
397,288055,255388,240785,220326,223131,233335,255130
410,67704,69662,65302,72348,63563,71552,77182
406,151291,158822,172999,194471,195202,207241,180721
407,149909,155312,169909,169515,209272,238308,274590
405,893610,993303,942289,1155524,1419212,1384813,1549081
408,182005,176376,189597,193229,181935,162277,170952
409,80163,85805,94744,105698,122989,127654,139539
999,123369,126741,126716,134566,137650,158081,175865
379,36867,34413,39816,37177,44920,46952,44138
380,64208,64187,69867,78111,78838,84186,82533
378,247883,239229,242324,233294,227734,232846,232664
377,324167,362275,361744,365069,354565,341703,313016
376,993674,1020393,1131016,1226731,1242358,1398906,1355770
