id,y_1999,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
382,416671,452999,474689,465634,482787,546833,519467,534332,631561
383,320437,355988,401422,413591,399011,415694,461001,497208,491349
381,331970,342794,332288,353500,347415,376371,385785,389550,471693
384,268671,268133,312877,341167,353924,378317,440998,503746,498378
391,112401,96325,107798,127505,131913,157285,156019,176107,190159
393,182888,220174,251804,274279,267632,313270,371554,352019,318847
390,312728,318707,324080,353829,372634,378698,375167,439493,458932
392,137606,164934,155761,162195,178422,199895,175355,178349,169735
398,418236,464233,471307,498516,483521,558404,567114,659285,635203
404,36013,37819,42572,44433,45642,51343,55337,57237,60179
401,191591,215917,208973,233130,255550,287744,291327,297928,330839
399,30285,28939,32550,30655,33534,30539,30012,27381,29531
402,792183,847257,911365,938843,996763,1017751,1025422,997912,979953
400,141428,152834,163332,177807,196085,223802,214615,234297,245965
403,102520,118962,136398,133887,141623,136353,144885,162256,194929
373,513857,534217,621341,742849,780846,840696,994986,1086350,1048536
371,377166,369941,329072,364636,416124,375399,358653,359498,391909
372,408543,424713,476322,451021,482378,557286,571748,610654,633135
374,219390,230510,246781,232183,261991,279610,272514,322455,344666
375,503618,525734,532080,528144,513413,601757,593975,597786,554659
389,585229,562974,578684,569071,626171,752440,849391,921559,1117117
387,151929,174286,164661,156185,146995,171541,177844,193200,216314
386,305669,361300,388524,388744,430634,504666,501656,575300,565567
388,104178,105004,103430,104782,118085,143841,142086,146973,138918
385,55920,55311,52376,57041,68489,82962,89115,99063,100407
394,28464,25499,25357,29735,29146,34086,35154,39857,40607
395,391928,462822,417220,450618,440294,474323,481317,531515,555050
396,744550,918579,1094004,1093542,1022244,1034753,1155073,1104827,1204924
397,20636,21963,22615,22856,21649,24215,24206,27481,32150
410,190611,217192,232888,249215,229967,258440,253575,259983,272141
406,207818,258348,277018,266689,274582,293544,348730,374016,422346
407,26297,27717,26091,25725,29122,27541,27150,29663,30729
405,166822,157203,167458,157494,147343,141391,162799,168621,153784
408,276673,304183,362209,365754,408503,467644,431186,449284,458147
409,122662,132987,133545,146572,159768,175684,189876,222032,248013
999,791544,867547,842763,884738,1032783,1079437,1134654,1101399,965370
379,330293,381292,408331,427290,465128,476233,488279,550575,581735
380,23077,26168,29447,25568,25721,24647,26549,28251,29030
378,641937,649054,655241,755156,868493,883394,989894,1156720,1245691
377,245096,304301,288134,279451,271819,274351,241144,252238,277522
376,393571,429776,418141,495174,462015,432040,457045,468372,421657
