id,y_1999,y_2019
382,5.3,3.3
383,3.5,2.3
381,9.9,7.6
384,7.6,5.5
391,3.1,7.0
393,6.6,1.4
390,2.1,6.0
392,9.5,6.2
398,2.7,3.5
404,4.6,7.4
401,1.3,2.9
399,4.1,7.3
402,9.6,5.6
400,6.0,7.6
403,1.6,2.8
373,5.4,4.3
371,8.0,2.0
372,6.8,8.7
374,8.8,1.0
375,5.2,8.0
389,5.7,6.1
387,2.9,4.4
386,8.1,3.2
388,5.2,9.8
385,1.5,1.7
394,1.6,5.7
395,1.2,4.8
396,6.6,9.8
397,2.5,3.9
410,6.4,5.9
406,2.9,2.4
407,2.5,7.0
405,4.8,7.3
408,9.6,2.8
409,7.4,8.0
999,8.2,2.4
379,2.1,2.2
380,2.1,2.7
378,4.6,1.2
377,4.6,3.0
376,9.8,2.7
