id,y_1999,y_2010,y_2012,y_2014,y_2016,y_2019
382,347017,383254,362852,362439,394598,434742
383,394633,408776,423416,474361,456648,516853
381,495491,522172,520338,557148,643045,651126
384,43263,52889,56532,55422,51664,55802
391,319528,285984,317870,327507,314384,351891
393,325200,294241,321452,348309,354068,361437
390,4646,4840,5052,4711,5299,5237
392,167216,185187,194382,192491,205261,223225
398,22255,22187,23682,28731,30226,31037
404,80818,89892,97614,95839,120776,130816
401,71600,74905,68843,71515,72607,67306
399,313132,309315,305186,340854,343037,349217
402,320886,299347,291487,351313,344702,390494
400,242848,259582,293841,295597,332072,289851
403,439459,398672,463535,546351,555530,687435
373,173336,204075,219361,224613,261322,253985
371,98203,113283,125520,115959,142199,152729
372,93314,86571,81471,93678,83844,97441
374,137542,141927,155764,168981,164154,186254
375,475186,514532,592446,663594,630026,635708
389,57747,56510,60635,69822,74248,78076
387,191375,204675,194753,204873,192867,199937
386,377996,434437,422202,502845,535366,530847
388,140291,126847,138779,146432,149605,138520
385,363982,357898,393305,363607,385022,426478
394,88513,87540,87469,82382,83983,93924
395,669045,764997,775833,689115,714172,651273
396,280036,283649,321038,362871,438126,386785
397,107386,110508,111599,128051,130747,135364
410,78199,93143,97915,99689,111475,130491
406,210076,193900,171817,165185,168713,203732
407,269563,288225,311257,301380,292397,292376
405,319531,348493,346080,340592,357603,377243
408,160601,168371,187178,222921,258552,273141
409,298455,297517,339629,326100,324285,394089
999,384085,359134,382214,421162,455722,491681
379,928803,1002906,1097809,1069084,1198446,1182677
380,120168,146785,160577,187782,199201,215421
378,76610,78948,76196,76531,90332,105398
377,274730,277455,322297,337231,369004,374527
376,596506,619330,747220,878002,897040,850001
