id,y_1999,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
382,313819,271535,337359,323226,327364,337979,357278,335284,302787,351471
383,86132,81674,85742,86945,99443,104541,113299,129004,130366,128916
381,29264,35745,37605,44006,54072,53321,48811,53866,60911,60619
384,559018,540360,594979,593640,672579,666907,659298,597334,595452,653109
391,107327,115047,127659,116196,120061,124366,125423,148647,143618,134546
393,129137,132459,134280,155352,158291,173824,183919,194753,207112,213642
390,637281,660714,686626,637242,682910,712172,737842,715293,709237,764805
392,293418,295605,298327,295652,344022,343798,378313,403276,434426,434626
398,287724,328065,384642,433091,461435,537077,642658,712179,784255,709132
404,539308,569814,563083,578991,665720,660185,804230,891050,1025254,974015
401,93955,96473,103480,128459,142113,155353,147631,148839,165360,177705
399,228589,222476,237555,226413,240693,231979,219224,212096,230833,231105
402,236350,237623,262005,290411,341599,375927,390904,449002,479267,554114
400,119560,134268,136150,137024,163514,180377,215518,233734,229240,267737
403,275189,250996,254759,264005,266790,285675,325260,340964,358377,348273
373,60954,72995,72786,75327,76250,79273,78992,78384,89862,108855
371,206242,222674,248391,263811,228274,203881,189401,222225,229690,237149
372,344339,428220,410447,433899,457554,469095,526967,581721,622261,650144
374,293802,296774,344217,327117,320054,386675,382141,400715,439799,394406
375,816274,776758,844341,808846,867501,945015,1094165,1356237,1473345,1392963
389,216691,238157,228697,232073,259312,248567,277720,282048,316547,293697
387,308484,299793,289564,332543,295082,258119,267994,271342,257293,318855
386,211173,214300,207308,229757,264039,267164,324217,361826,364362,319178
388,338118,347913,330244,348115,312616,293198,281754,300142,296383,277080
385,45622,48680,48813,46345,45894,53706,57565,59310,71932,77256
394,150390,165027,152485,155691,165710,178391,189468,193693,201319,194199
395,606712,643826,730716,756370,782727,841437,742678,829307,916797,1129153
396,410619,376373,403624,468080,475800,537688,625107,728192,794675,856356
397,518413,632144,651175,665674,696145,864228,962688,956620,1078348,1132936
410,56463,64245,61986,70372,75037,77571,81131,84383,82086,88659
406,129044,125505,129443,152531,157888,146066,146794,168814,163358,171664
407,204768,237070,249912,236364,218762,255648,235106,234825,243893,238519
405,360009,366059,388764,345529,351850,374067,379034,384218,440359,399345
408,759587,698793,736333,812150,781664,844882,931389,1043725,1076542,1000710
409,189558,216716,208663,257601,269262,273635,312509,385846,362663,363630
999,139598,161446,166489,160308,162280,177697,162740,182928,173993,179288
379,291982,257067,289494,274600,275149,291115,346186,321103,330134,334709
380,2576,2659,2866,2783,2921,2524,2568,2231,2247,2345
378,288171,286549,296121,310110,329126,338923,396877,400478,452864,536302
377,30304,32507,33691,36434,41370,43552,43722,42949,50400,48449
376,127427,135871,121720,136176,129047,135842,131044,140196,144998,144050
