id,y_1999,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021
382,9752,10938,12525,11974,12380,13983,13577,13599
383,5446,6019,5923,6033,6619,7540,8066,8095
381,9788,10154,11231,11914,11970,12813,13294,15030
384,1513,1689,1769,1941,2191,2161,2424,2495
391,3401,3383,3571,4063,4090,4282,4645,4800
393,5981,6208,7020,6723,7590,7952,7646,7745
390,6588,6838,7516,7518,8088,8545,8330,8003
392,1173,1175,1274,1456,1625,1619,1609,1775
398,1581,1607,1606,1578,1731,1883,2132,2116
404,2452,2339,2362,2699,2631,2651,2763,2999
401,9674,10475,11852,11440,12306,13202,13183,14974
399,7637,8076,9077,10306,9890,11361,12010,12746
402,7828,7757,7539,8511,8534,9009,8814,8468
400,4520,4823,4972,5001,5094,5284,5105,5282
403,1755,1673,1845,2093,2084,2277,2241,2259
373,2631,2554,2644,2728,3076,3286,3708,3699
371,3599,3720,3594,3771,3641,3766,4098,4057
372,4625,4589,5106,5301,5785,6650,7608,8630
374,9428,9629,9978,10215,9877,11196,12855,12602
375,8257,9480,9760,10586,11075,12108,11954,13421
389,2317,2248,2276,2173,2108,2264,2537,2491
387,5741,5715,6213,6482,7205,7809,7669,7348
386,4425,4340,4799,5103,5123,5022,4809,4732
388,6984,7899,8102,8217,8546,9469,9144,9661
385,4855,5159,5567,5660,5563,5690,5546,5614
394,9610,10949,12078,11731,12872,13115,13127,14795
395,4692,5036,5159,5193,5458,6031,6000,6213
396,3275,3427,3800,4147,4371,4281,4470,4488
397,7226,7513,7869,8028,8749,8490,9479,9395
410,2419,2680,2863,2998,3302,3466,3817,3834
406,9080,9488,9315,9923,10457,11726,11200,11851
407,9150,9718,10776,10843,11923,11473,11748,13499
405,5588,5987,6603,6958,7712,8164,8544,9381
408,8366,9030,10202,10003,10390,10697,11743,12411
409,9941,10179,11641,13301,14280,15520,16854,18981
999,2401,2699,2614,2987,2915,3045,3139,3115
379,7929,8220,8879,9763,10526,10463,10390,10839
380,1816,1817,1919,2073,2139,2379,2437,2649
378,9546,10858,11948,12701,12909,12374,13878,13430
377,2665,2629,2926,3228,3618,3511,3930,4099
376,8538,9492,9260,9916,9633,9608,9129,10267
