id,y_1999,y_2019
382,7724,8152
383,1845,1761
381,3093,3473
384,7457,8357
391,9355,10115
393,9250,10197
390,5221,5740
392,9247,9000
398,7637,8461
404,7482,8548
401,4619,4761
399,8516,9370
402,3800,3742
400,5956,6654
403,1389,1445
373,6126,5950
371,3933,4318
372,3692,4141
374,2362,2498
375,2153,2436
389,7270,7447
387,7308,8179
386,5474,5447
388,5179,5905
385,1450,1502
394,3765,4027
395,5646,6265
396,2346,2306
397,6645,6447
410,1263,1315
406,1878,1965
407,5605,6174
405,5203,5151
408,9539,9689
409,5836,5567
999,9823,9369
379,7345,7101
380,2194,2230
378,2099,2328
377,2681,2814
376,5596,6138
