id,y_1999,y_2012,y_2014,y_2016,y_2019
382,379608,399315,380706,466117,478783
383,115089,139732,137026,157496,163918
381,104922,110170,111895,116354,135687
384,186426,212649,188859,198025,207742
391,237952,231468,234804,222561,235791
393,265640,305671,340439,316982,304213
390,372963,392529,375078,403363,382170
392,43146,42330,45954,42082,43380
398,176285,208272,221121,263685,314989
404,397400,401702,407082,389689,342837
401,409519,394283,401309,436174,467598
399,7824,8917,8235,8443,9381
402,69115,85016,77957,80192,76124
400,35262,35685,37742,40336,38452
403,185046,212437,233743,225000,264673
373,434217,475512,510176,525472,486054
371,24198,23892,24754,26696,31746
372,273364,263770,252207,265861,233051
374,622250,704197,838350,754869,828377
375,78609,83157,82980,84396,76868
389,646297,703009,814090,920008,877708
387,457454,539070,529768,549818,571629
386,108388,120941,134663,142741,142449
388,57037,67007,69295,66469,67040
385,22988,21797,24319,24694,25749
394,668561,622257,568433,534641,526470
395,647053,632628,704776,760483,766129
396,19640,19797,22308,21365,24271
397,141797,153250,171420,186982,219226
410,424627,383940,348133,324050,381029
406,74976,76185,80235,71186,72587
407,100794,110742,123686,121421,123465
405,222251,256537,258872,299188,331765
408,81134,94812,101911,107500,119614
409,91115,91318,88239,96800,94723
999,47352,46705,44867,47027,47297
379,37204,38319,39015,40635,45701
380,272566,279039,276497,277945,305828
378,63137,63431,60588,72422,67278
377,476087,472221,493793,610337,656958
376,420813,480867,434154,386285,410853
