id,y_1999,y_2012,y_2019
382,580154,559482,623246
383,240479,223618,221844
381,660632,716754,679392
384,831989,991453,1008386
391,24949,27792,31379
393,223909,234887,281356
390,724293,775770,840820
392,85283,105122,125113
398,605380,658830,669047
404,47456,43441,45159
401,238294,218476,203268
399,31070,34126,36401
402,655495,607753,720474
400,574719,591057,542143
403,211921,244786,255928
373,198750,193696,198605
371,81718,86641,102689
372,37902,38821,44019
374,81476,85756,90915
375,234712,239648,252128
389,21839,23165,25093
387,320782,323785,335802
386,135127,140578,168187
388,315594,337506,359105
385,620233,767880,792041
394,9466,9578,11596
395,217195,261957,239736
396,7579,7786,8603
397,103511,99012,94301
410,142030,149314,159534
406,819127,817305,853301
407,615746,749419,790874
405,187351,184865,213775
408,9296,11082,9684
409,606442,645476,661123
999,361518,424178,419573
379,129150,128268,123186
380,501369,509723,621566
378,329785,296488,309528
377,80394,90211,86207
376,393691,368317,407549
