id,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
644,274,175,448,428,35,345,335,391
645,248,53,280,211,188,78,323,209
646,96,353,259,472,74,398,211,305
647,315,241,303,44,493,246,259,39
648,70,478,11,406,261,73,238,19
649,233,354,133,384,476,320,370,334
650,25,303,449,427,214,49,435,330
651,484,437,139,119,451,318,464,456
652,484,301,185,146,438,445,70,388
653,239,429,416,286,264,209,456,305
654,292,230,102,378,205,112,351,444
655,398,264,251,417,441,353,354,458
656,441,382,407,72,287,82,273,339
657,16,492,11,224,10,161,237,223
658,297,205,266,168,244,369,193,102
659,261,463,415,146,51,19,258,267
660,367,336,417,133,291,32,195,303
661,467,164,500,418,255,105,322,42
662,353,199,388,333,283,121,349,356
663,205,468,18,103,340,395,62,59
664,29,244,440,369,360,46,37,321
665,241,302,20,126,490,171,359,345
666,405,444,494,464,193,448,396,179
667,215,118,291,118,82,357,194,375
668,114,158,74,457,121,58,301,149
669,50,176,249,284,339,472,314,167
670,207,226,283,159,175,295,256,35
671,177,452,81,55,191,96,111,412
672,129,75,65,191,435,119,154,219
673,225,229,275,250,480,281,410,170
674,83,476,487,350,201,242,201,37
675,445,407,47,77,227,146,28,468
676,184,444,220,207,160,165,136,414
677,225,232,88,208,260,380,355,166
678,443,178,61,308,20,490,225,326
679,68,255,111,489,457,75,30,354
680,452,342,208,383,48,145,493,252
681,274,360,414,418,176,317,301,230
682,63,347,373,42,58,211,207,409
683,33,262,187,22,246,382,74,348
684,258,35,73,62,233,146,324,266
