id,y_1999,y_2013,y_2019,y_2020,y_2021
382,4047,4100,3951,4486,4941
383,4835,4697,4695,4569,5075
381,9312,10465,11612,12532,11947
384,3295,3457,3557,3485,3615
391,7463,8020,8902,8773,9751
393,5983,6813,6502,6716,6575
390,9963,10679,10390,10427,11303
392,3435,3945,4045,4025,3887
398,4508,5034,5680,5665,6404
404,4728,4579,4797,5267,5999
401,8277,8406,8201,8603,8462
399,7982,8436,8742,9756,11044
402,6493,6193,6764,7013,7035
400,9882,9893,10988,10965,11454
403,9313,9569,9300,9492,9798
373,1477,1409,1435,1439,1554
371,4306,4236,4696,4707,5254
372,1660,1816,1794,1827,2065
374,3737,4206,4633,4655,5235
375,9370,9940,10815,11400,11846
389,1940,2219,2272,2588,2880
387,1895,2170,2115,2078,2068
386,2348,2381,2636,2765,2695
388,1863,2051,2033,2190,2269
385,1509,1676,1730,1679,1669
394,9676,9764,9593,10231,10334
395,9415,9577,9704,9519,9061
396,2573,2788,2951,3381,3520
397,7885,8162,8459,9025,10190
410,7311,7451,7176,7410,7209
406,9965,10676,11482,12203,11631
407,2061,2338,2357,2514,2407
405,8078,8889,9981,11055,11702
408,1687,1928,1877,2134,2091
409,1224,1393,1538,1489,1579
999,8108,8988,8955,9764,10885
379,5721,5776,6130,6991,6764
380,5844,5822,5544,6055,6350
378,3104,3484,3810,3967,3905
377,4102,4211,4473,5018,4854
376,8925,9055,10035,11323,12104
