id,y_1999,y_2014,y_2015,y_2017,y_2019
382,9329,9999,10683,11895,11920
383,1667,1853,1986,2230,2243
381,8995,9625,9899,9637,10781
384,4367,4341,4636,5006,5140
391,8639,8738,8467,9498,10483
393,2882,3221,3193,3056,3352
390,7733,8019,8491,9329,10728
392,8976,9418,10388,10881,11889
398,7159,6854,7074,7651,7994
404,9489,9102,10166,11615,11524
401,3798,4160,4584,4844,5336
399,3926,3956,4488,4968,5462
402,1569,1590,1783,1820,1850
400,2796,2862,2806,3079,3411
403,8459,8845,9585,10071,9633
373,5149,5703,5635,6399,6559
371,1573,1568,1612,1698,1700
372,8718,9643,10728,10407,11599
374,3193,3625,3859,3919,4459
375,6168,6123,6235,6573,6290
389,6430,6663,7078,7609,7900
387,4087,4184,4637,4636,4550
386,2992,3374,3844,4253,4102
388,7336,7191,7022,7831,7572
385,6371,6694,6601,6834,6556
394,6907,7677,7368,8285,9414
395,7102,7931,9115,10462,10913
396,6704,6797,7188,7709,8662
397,9284,10120,11635,13175,14450
410,5408,5557,5646,5943,5999
406,9233,10377,9959,9788,10565
407,8928,9027,8598,8641,9677
405,6742,7015,7204,7641,7336
408,7774,8604,9199,9075,8927
409,9130,9608,9267,9703,9817
999,7796,7827,8673,9095,9128
379,4266,4101,4645,5043,4925
380,9935,9538,9930,11232,12005
378,7543,8245,8240,9273,9566
377,5342,5726,6114,6247,6765
376,2381,2715,2825,2742,2875
