id,y_1999,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
382,84487,88949,97577,106165,110154,110658,135399,164519,166330
383,72515,69848,80899,77234,78261,94865,95225,101227,112515
381,211504,215685,231451,244571,240434,230386,213850,228974,229091
384,93960,105074,100116,109829,109118,132434,136037,148130,146245
391,16311,19379,21681,25132,27316,30308,28244,30735,32802
393,964017,1056569,1182517,1286285,1343033,1210559,1348176,1388112,1409635
390,455752,453512,468356,469608,515724,557331,568439,570369,611023
392,257927,279758,316582,368502,401757,437508,441599,436505,522066
398,78662,82091,78630,73353,79383,75812,80281,79610,69054
404,430763,487789,598090,593077,640331,675913,714401,660566,747643
401,525193,541095,574800,554486,605862,710064,754273,889076,878840
399,304237,326699,322897,351154,363753,327657,314656,340656,334223
402,38251,39923,41717,40931,39716,42536,43066,42394,44141
400,414634,460872,509245,535467,543807,643513,758668,897004,961657
403,568606,517099,543439,634361,735148,777583,957538,1028570,1125042
373,36059,35651,35480,33740,38847,38632,41429,40959,38100
371,375274,369778,409403,388836,408109,443471,458549,447139,421962
372,48486,52978,51310,53234,61631,63312,67277,59597,59995
374,26981,29599,32345,39040,45708,50590,58087,58016,59692
375,51344,56738,62151,67342,69687,71711,83005,91448,102590
389,59982,64081,64913,74892,89218,101678,117429,129190,147129
387,173924,199702,217690,198610,213541,246101,238658,252511,272250
386,520101,475768,431393,421304,466181,462156,483206,526725,617482
388,628834,549137,571960,667357,675717,741543,765714,848456,846120
385,390023,455312,525926,572268,570149,584722,615697,725977,853488
394,22586,23082,21505,26190,28551,28731,32773,28605,29146
395,314019,302001,371236,411866,416216,371031,343615,317764,312314
396,580803,598672,687282,683316,676675,802536,958391,1091297,1140366
397,281582,340225,352348,402674,422793,436585,509303,478381,481712
410,287686,289305,271064,279448,287329,294361,295630,292058,365292
406,20154,21330,25790,27891,28435,29230,27599,30161,30555
407,528542,595610,683179,726474,899753,1046337,1223347,1197557,1314789
405,281071,312578,372521,433812,533735,555929,666080,619945,668144
408,52075,58674,64361,67177,69775,75367,82535,82581,94928
409,238266,231817,257531,257922,246256,237007,213733,208862,231304
999,685997,771118,832004,771482,921667,1037741,1123181,1205498,1118722
379,60279,66634,78326,78782,73933,83700,103391,115104,116662
380,226818,243127,264271,298299,284486,299202,310257,340090,367688
378,181890,201106,233493,233927,222082,272437,318703,305777,346769
377,115917,123469,138566,150318,174995,176154,200471,213274,186480
376,600358,656804,622758,586324,627678,710699,780740,913419,835904
