id,y_1999,y_2013,y_2019
382,9546,9591,10223
383,3738,3701,4127
381,5002,5279,5769
384,9010,10154,10758
391,7258,8299,9206
393,2330,2299,2446
390,3433,3844,4332
392,1321,1357,1388
398,1058,1133,1118
404,8714,8480,8678
401,6271,6654,7570
399,9735,9364,10699
402,5068,5300,5179
400,2925,3128,3439
403,9309,9870,10889
373,3444,3931,3805
371,3940,3995,4280
372,7771,7493,7972
374,4351,4917,5198
375,7717,8266,8848
389,1732,1777,1781
387,3865,3744,3697
386,7795,7957,9097
388,2070,2339,2539
385,9178,9430,9804
394,1371,1375,1402
395,1665,1883,1822
396,1482,1543,1692
397,5202,5747,6503
410,8184,8893,9754
406,6308,7219,6955
407,9760,10180,11613
405,3426,3677,3966
408,3672,4047,3920
409,3880,3694,3591
999,1269,1430,1470
379,5133,5344,5963
380,8221,7998,8026
378,9907,10587,11661
377,2357,2279,2196
376,3757,3958,3810
